Player,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,xG,npxG,SCA,GCA,match,score,team,team_goals,conceded_goals,win,tie,Total-TotDist,Total-PrgDist,Short-Cmp,Short-Att,Medium-Cmp,Medium-Att,Long-Cmp,Long-Att,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Tackles-Tkl,Tackles-TklW,Challenges-Tkl,Challenges-Att,Challenges-Lost,Blocks-Blocks,Blocks-Sh,Blocks-Pass,Int,Clr,Err,Touches-Def Pen,Touches-Def 3rd,Touches-Mid 3rd,Touches-Att 3rd,Touches-Att Pen,Take-Ons-Att,Take-Ons-Succ,Carries-Carries,Carries-TotDist,Carries-PrgDist,Carries-PrgC,Carries-1/3,Carries-CPA,Carries-Mis,Carries-Dis,Receiving-Rec,Receiving-PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Recov,Aerial Duels-Won,Aerial Duels-Lost,SoTA,GA,Saves,PSxG,Launched-Cmp,Launched-Att,Passes-Att (GK),Passes-Thr,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-AvgLen,Crosses-Opp,Crosses-Stp,Sweeper-#OPA,Sweeper-AvgDist,puntaje_modelo,figura,puntaje,fecha
Adrián Balboa,FW,81,0,0,0,0,3,1,0.1,0.1,2,0,Unión - Atlé Tucumán,1–0,Unión,1,0,True,False,159,43,4,7,7,9,0,0,0.1,0.2,1,0,2,0,2,18,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,10,16,2,3,1,12,39,8,0,0,0,3,0,18,3,1,0,0,1,1,2,0,0,0,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.819981353256511,False,5.0,22
Patricio Tanda,CB,9,0,0,0,0,0,0,0.0,0.0,1,0,Unión - Atlé Tucumán,1–0,Unión,1,0,True,False,229,85,1,2,6,7,2,2,0.0,0.0,1,2,1,0,2,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,7,3,0,0,0,3,20,14,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.358656175791914,False,8.0,22
Nicolás Orsini,FW,6,0,0,0,0,1,0,0.0,0.0,0,0,Unión - Atlé Tucumán,1–0,Unión,1,0,True,False,25,4,2,2,0,0,0,1,0.0,0.0,0,1,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,2,0,0,5,12,5,1,0,1,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.325874647552741,False,6.0,22
Jerónimo Domina,FW,84,1,0,0,0,3,1,0.1,0.1,1,0,Unión - Atlé Tucumán,1–0,Unión,1,0,True,False,193,6,9,12,4,4,1,1,0.0,0.0,0,1,0,0,0,20,20,0,0,0,0,1,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,10,22,4,2,0,19,96,22,2,1,0,3,1,27,9,1,0,0,1,1,0,0,0,0,3,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.137508891855781,False,8.0,22
Mauro Pittón,CM,61,0,0,0,0,2,1,0.1,0.1,1,0,Unión - Atlé Tucumán,1–0,Unión,1,0,True,False,465,125,10,11,9,14,4,10,0.0,0.0,0,3,0,0,5,38,34,4,1,0,1,4,0,3,1,1,1,3,2,1,1,0,0,0,0,2,8,23,15,2,0,0,12,46,20,1,1,1,3,1,24,2,0,0,0,0,0,0,0,0,0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.583232774825752,False,7.0,22
Lionel Verde,CM,29,0,0,0,0,1,0,0.0,0.0,1,1,Unión - Atlé Tucumán,1–0,Unión,1,0,True,False,238,8,2,2,5,6,2,6,0.0,0.0,0,1,0,0,1,14,9,5,2,1,0,3,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,7,11,0,1,1,7,80,39,2,1,0,1,0,8,2,0,0,0,1,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.450780683269048,False,6.0,22
Joaquín Mosqueira,CM,90,0,0,0,0,1,0,0.0,0.0,1,0,Unión - Atlé Tucumán,1–0,Unión,1,0,True,False,458,132,12,13,14,15,0,1,0.0,0.0,1,5,0,0,2,31,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,28,5,0,0,0,13,111,79,3,1,0,2,0,22,1,1,0,0,3,0,0,0,0,0,5,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.329461185160717,False,4.0,22
Simón Rivero,CM,90,0,0,0,0,1,1,0.0,0.0,3,0,Unión - Atlé Tucumán,1–0,Unión,1,0,True,False,325,99,8,10,7,9,2,7,0.1,0.1,3,4,1,0,3,27,22,4,2,0,1,4,0,2,2,2,2,2,0,2,0,2,0,0,0,0,3,18,15,1,2,2,14,110,71,2,2,0,1,1,18,1,0,0,0,1,2,0,0,0,0,4,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.038616790461607,False,7.0,22
Mateo Del Blanco,FB,90,0,0,0,0,1,0,0.0,0.0,5,0,Unión - Atlé Tucumán,1–0,Unión,1,0,True,False,738,275,10,14,20,24,5,9,0.2,0.1,2,3,2,1,5,52,48,4,0,0,2,2,4,0,0,0,0,0,0,0,0,0,2,2,0,2,14,24,21,1,4,2,32,285,159,3,1,1,1,1,35,3,1,0,0,1,2,0,0,0,0,4,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.135252900576807,False,7.0,22
Claudio Corvalán,CB,81,0,0,0,0,2,0,0.1,0.1,6,0,Unión - Atlé Tucumán,1–0,Unión,1,0,True,False,711,510,7,11,14,15,8,8,0.0,0.0,0,5,0,0,3,37,32,5,1,0,0,0,4,0,2,2,0,0,0,0,0,0,1,1,0,3,20,21,5,1,1,1,12,70,24,1,1,0,0,0,17,1,0,0,0,0,0,0,0,0,0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.865705523222808,False,9.0,22
Rafael Profini,CB,9,0,0,0,0,0,0,0.0,0.0,0,0,Unión - Atlé Tucumán,1–0,Unión,1,0,True,False,137,73,2,3,4,5,1,2,0.0,0.0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.20270015227184,False,8.0,22
Miguel Ángel Torrén,CB,61,0,0,0,0,0,0,0.0,0.0,1,0,Unión - Atlé Tucumán,1–0,Unión,1,0,True,False,543,277,6,9,12,14,5,6,0.0,0.0,0,3,0,0,2,29,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,3,21,14,0,0,0,0,11,84,67,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.527061089855744,False,9.0,22
Javier Morales,CB,29,0,0,0,0,1,0,0.0,0.0,0,0,Unión - Atlé Tucumán,1–0,Unión,1,0,True,False,38,0,1,1,1,1,0,0,0.1,0.0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,7,3,0,0,5,17,6,0,0,1,3,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.10370158879971,False,8.0,22
Franco Pardo,CB,90,0,1,0,0,0,0,0.0,0.0,1,1,Unión - Atlé Tucumán,1–0,Unión,1,0,True,False,477,204,4,5,13,20,3,13,0.1,0.1,1,1,1,0,2,40,28,11,4,0,0,0,7,0,0,0,0,0,0,1,1,0,3,1,0,2,22,18,6,0,1,0,10,100,61,1,1,0,0,0,17,0,0,0,0,0,2,0,0,0,0,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.415459821670473,True,16.0,22
Lautaro Vargas,FB,90,0,0,0,0,0,0,0.0,0.0,3,0,Unión - Atlé Tucumán,1–0,Unión,1,0,True,False,495,202,5,8,10,17,5,5,0.0,0.1,1,4,1,1,2,31,28,3,0,0,1,8,3,0,2,2,1,1,0,2,0,2,0,1,0,0,9,22,12,0,2,0,19,168,63,1,2,0,0,2,27,4,0,0,0,2,1,0,0,0,0,5,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.762042748102004,False,9.0,22
