Player,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,xG,npxG,SCA,GCA,match,score,team,team_goals,conceded_goals,win,tie,Total-TotDist,Total-PrgDist,Short-Cmp,Short-Att,Medium-Cmp,Medium-Att,Long-Cmp,Long-Att,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Tackles-Tkl,Tackles-TklW,Challenges-Tkl,Challenges-Att,Challenges-Lost,Blocks-Blocks,Blocks-Sh,Blocks-Pass,Int,Clr,Err,Touches-Def Pen,Touches-Def 3rd,Touches-Mid 3rd,Touches-Att 3rd,Touches-Att Pen,Take-Ons-Att,Take-Ons-Succ,Carries-Carries,Carries-TotDist,Carries-PrgDist,Carries-PrgC,Carries-1/3,Carries-CPA,Carries-Mis,Carries-Dis,Receiving-Rec,Receiving-PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Recov,Aerial Duels-Won,Aerial Duels-Lost,SoTA,GA,Saves,PSxG,Launched-Cmp,Launched-Att,Passes-Att (GK),Passes-Thr,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-AvgLen,Crosses-Opp,Crosses-Stp,Sweeper-#OPA,Sweeper-AvgDist,puntaje_modelo,figura,puntaje,fecha
Antony Alonso,FW,45,0,0,0,0,0,0,0.0,0.0,1,0,Deportivo Riestra - Atlé Tucumán,2–0,Deportivo Riestra,2,0,True,False,98,29,4,15,1,3,1,1,0.0,0.0,1,0,0,0,2,23,23,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,1,2,9,17,3,1,0,11,34,13,0,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,1,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.574646826002204,False,7.0,18
Nicolás Benegas,FW,45,0,2,0,0,1,1,0.0,0.0,3,2,Deportivo Riestra - Atlé Tucumán,2–0,Deportivo Riestra,2,0,True,False,93,55,3,5,2,3,0,0,0.6,0.6,2,0,2,0,3,11,11,0,0,2,0,0,0,0,2,2,0,0,0,3,0,3,0,1,0,1,2,9,11,2,2,0,9,44,13,1,0,0,2,0,11,2,0,0,0,2,3,0,0,0,0,3,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.789611256342159,False,10.0,18
Jonathan Herrera,FW,84,1,0,0,0,3,2,0.5,0.5,1,1,Deportivo Riestra - Atlé Tucumán,2–0,Deportivo Riestra,2,0,True,False,88,12,4,4,2,3,0,0,0.0,0.0,0,0,1,0,1,10,9,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,2,2,19,6,2,0,12,72,42,2,0,2,2,0,13,7,0,0,0,1,2,1,0,0,0,0,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.958345031886298,True,15.0,18
Rodrigo Cavallera,FW,6,0,0,0,0,0,0,0.0,0.0,0,0,Deportivo Riestra - Atlé Tucumán,2–0,Deportivo Riestra,2,0,True,False,18,19,0,0,1,1,0,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.441802735575961,False,6.0,18
Brían Sánchez,M,50,0,0,0,0,0,0,0.0,0.0,0,0,Deportivo Riestra - Atlé Tucumán,2–0,Deportivo Riestra,2,0,True,False,11,0,1,3,0,2,0,3,0.0,0.0,0,0,0,0,0,9,8,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,6,5,5,1,2,0,8,82,2,0,1,0,1,1,6,0,0,0,0,1,1,0,0,0,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.378117346443884,False,6.0,18
Alexander Díaz,M,39,1,0,0,0,1,1,0.5,0.5,2,1,Deportivo Riestra - Atlé Tucumán,2–0,Deportivo Riestra,2,0,True,False,17,1,0,1,1,1,0,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,2,2,4,1,0,0,5,38,17,2,1,0,1,0,6,3,0,0,0,0,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.393336522801775,False,12.0,18
Tomás Villoldo,M,1,0,0,0,0,0,0,0.0,0.0,0,0,Deportivo Riestra - Atlé Tucumán,2–0,Deportivo Riestra,2,0,True,False,0,0,0,0,0,1,0,1,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.223392074010537,False,6.0,18
Jonathan Goya,CM,90,0,0,0,0,0,0,0.0,0.0,0,0,Deportivo Riestra - Atlé Tucumán,2–0,Deportivo Riestra,2,0,True,False,207,106,8,8,3,8,2,2,0.0,0.0,0,3,1,0,4,20,20,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,1,0,1,6,16,3,0,0,0,5,23,14,0,1,0,2,0,6,0,0,0,0,1,0,0,0,0,0,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.652211538466009,False,7.0,18
Jonatan Goitía,CM,90,0,0,0,0,0,0,0.0,0.0,3,0,Deportivo Riestra - Atlé Tucumán,2–0,Deportivo Riestra,2,0,True,False,149,116,7,10,4,7,0,2,0.4,0.2,2,5,0,0,4,20,18,2,2,1,0,0,0,0,4,2,2,2,0,0,0,0,0,2,0,2,8,15,5,0,0,0,7,35,12,0,0,0,0,0,7,2,0,0,0,0,1,0,0,0,0,5,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2149086767226684,False,7.0,18
Pedro Ramírez,FB,90,0,0,0,0,0,0,0.0,0.0,0,0,Deportivo Riestra - Atlé Tucumán,2–0,Deportivo Riestra,2,0,True,False,142,78,1,5,5,6,1,3,0.0,0.0,0,0,0,0,0,17,15,2,1,0,0,3,1,0,2,2,0,0,0,2,0,2,0,2,0,2,8,9,11,0,2,1,9,80,30,1,1,0,2,0,9,5,0,0,0,0,1,0,0,0,0,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.830664331187204,False,9.0,18
Rodrigo Sayavedra,FB,45,0,0,0,0,0,0,0.0,0.0,0,0,Deportivo Riestra - Atlé Tucumán,2–0,Deportivo Riestra,2,0,True,False,282,184,2,2,5,8,4,10,0.0,0.0,0,2,0,0,1,22,11,11,2,0,0,3,7,2,0,0,0,0,0,0,0,0,1,0,0,0,11,9,6,0,0,0,7,21,11,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.486415800237047,False,8.0,18
Mario Sanabria,M,45,0,0,0,0,0,0,0.0,0.0,1,0,Deportivo Riestra - Atlé Tucumán,2–0,Deportivo Riestra,2,0,True,False,38,36,0,1,2,5,0,1,0.0,0.0,0,0,0,0,1,7,6,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,3,8,4,0,0,0,3,12,6,0,0,0,3,1,2,0,0,0,0,2,0,0,0,0,0,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.165990926505816,False,6.0,18
Nicolás Caro,CB,90,0,0,0,0,1,0,0.0,0.0,0,0,Deportivo Riestra - Atlé Tucumán,2–0,Deportivo Riestra,2,0,True,False,153,62,3,3,5,8,0,4,0.0,0.0,0,1,0,0,1,16,14,2,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,4,0,7,12,9,1,1,0,0,6,27,23,0,0,0,0,0,6,0,0,0,0,2,1,0,0,0,0,1,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.948417445260043,False,9.0,18
Cristian Paz,CB,90,0,0,0,0,0,0,0.0,0.0,0,0,Deportivo Riestra - Atlé Tucumán,2–0,Deportivo Riestra,2,0,True,False,367,214,2,7,9,12,3,6,0.0,0.0,0,1,0,0,3,25,23,2,1,0,1,0,1,0,2,2,2,3,1,2,1,1,0,6,0,8,19,16,0,0,0,0,11,53,32,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.818365482334656,False,9.0,18
