Player,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,xG,npxG,SCA,GCA,match,score,team,team_goals,conceded_goals,win,tie,Total-TotDist,Total-PrgDist,Short-Cmp,Short-Att,Medium-Cmp,Medium-Att,Long-Cmp,Long-Att,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Tackles-Tkl,Tackles-TklW,Challenges-Tkl,Challenges-Att,Challenges-Lost,Blocks-Blocks,Blocks-Sh,Blocks-Pass,Int,Clr,Err,Touches-Def Pen,Touches-Def 3rd,Touches-Mid 3rd,Touches-Att 3rd,Touches-Att Pen,Take-Ons-Att,Take-Ons-Succ,Carries-Carries,Carries-TotDist,Carries-PrgDist,Carries-PrgC,Carries-1/3,Carries-CPA,Carries-Mis,Carries-Dis,Receiving-Rec,Receiving-PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Recov,Aerial Duels-Won,Aerial Duels-Lost,SoTA,GA,Saves,PSxG,Launched-Cmp,Launched-Att,Passes-Att (GK),Passes-Thr,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-AvgLen,Crosses-Opp,Crosses-Stp,Sweeper-#OPA,Sweeper-AvgDist,puntaje_modelo,figura,puntaje,fecha
Roger Martínez,FW,90,0,0,0,0,1,0,0.0,0.0,3,0,Racing Club - Deportivo Riestra,1–0,Racing Club,1,0,True,False,215,51,4,8,4,4,2,2,0.0,0.0,1,0,1,0,4,17,15,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,3,5,21,3,6,3,16,92,50,1,1,0,3,3,24,8,0,0,0,0,2,1,0,0,0,2,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.720864889415775,False,7.0,4
Agustín Urzi,AM,71,0,0,0,0,1,0,0.0,0.0,2,0,Racing Club - Deportivo Riestra,1–0,Racing Club,1,0,True,False,192,37,7,9,5,11,0,6,0.1,0.0,2,1,1,0,2,30,27,3,0,0,0,9,1,2,0,0,0,0,0,1,0,1,0,0,0,0,1,10,24,3,2,1,22,126,53,3,3,0,1,0,24,8,0,0,0,2,1,1,0,0,0,4,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.706607477768983,False,7.0,4
Santiago Solari,WB,19,1,0,0,0,3,2,0.5,0.5,1,0,Racing Club - Deportivo Riestra,1–0,Racing Club,1,0,True,False,301,69,7,8,7,8,2,6,0.0,0.0,0,1,1,0,5,24,21,3,0,0,0,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,2,7,23,2,3,2,21,260,181,5,2,1,0,0,21,8,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.544574938593744,True,22.0,4
Maximiliano Salas,AM,90,0,1,0,0,3,1,0.6,0.6,6,1,Racing Club - Deportivo Riestra,1–0,Racing Club,1,0,True,False,148,39,6,8,3,7,1,1,0.5,0.3,2,2,0,0,2,17,15,2,0,0,0,2,1,1,2,2,1,1,0,0,0,0,1,1,0,1,4,7,17,8,2,2,18,74,27,1,1,1,3,0,18,8,0,0,0,1,1,0,0,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.353612030288489,False,8.0,4
Baltasar Gallego,CM,84,0,0,0,0,4,0,0.1,0.1,4,0,Racing Club - Deportivo Riestra,1–0,Racing Club,1,0,True,False,1212,201,27,28,19,23,12,15,0.1,0.1,4,8,0,0,8,72,66,6,0,0,2,6,1,4,1,0,0,1,1,2,0,2,0,0,0,0,2,38,42,3,2,0,58,362,174,6,9,0,1,0,60,10,0,0,0,1,0,0,0,0,0,5,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.529869209685657,False,7.0,4
Agustín Almendra,CM,6,0,0,0,0,0,0,0.0,0.0,1,1,Racing Club - Deportivo Riestra,1–0,Racing Club,1,0,True,False,94,37,2,2,1,1,1,2,0.0,0.1,0,0,1,1,1,6,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,15,6,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.414561825647628,False,6.0,4
Juan Nardoni,CM,45,0,0,0,0,1,0,0.0,0.0,1,0,Racing Club - Deportivo Riestra,1–0,Racing Club,1,0,True,False,421,65,11,12,9,9,2,2,0.0,0.0,1,3,0,0,2,26,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,23,4,0,1,0,15,54,22,0,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.41489754927813,False,6.0,4
Bruno Zuculini,CM,45,0,0,0,0,0,0,0.0,0.0,1,0,Racing Club - Deportivo Riestra,1–0,Racing Club,1,0,True,False,494,111,14,15,14,15,1,1,0.0,0.0,0,3,0,0,2,33,33,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,2,0,0,0,0,33,3,0,1,1,24,198,43,0,1,0,0,0,25,0,0,0,0,0,0,0,0,0,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.556445540088124,False,7.0,4
Gabriel Rojas,WB,63,0,0,0,0,1,0,0.1,0.1,1,0,Racing Club - Deportivo Riestra,1–0,Racing Club,1,0,True,False,546,150,17,19,10,15,4,5,0.0,0.0,0,5,0,0,5,45,36,8,1,0,0,4,7,0,2,1,1,1,0,0,0,0,0,1,0,0,9,21,21,1,0,0,27,120,76,2,2,0,3,0,34,7,0,0,0,0,1,0,0,0,0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.445973096165546,False,8.0,4
David González,CM,27,0,0,0,0,1,0,0.0,0.0,2,0,Racing Club - Deportivo Riestra,1–0,Racing Club,1,0,True,False,348,41,12,14,11,11,0,1,0.0,0.0,1,4,0,0,5,26,24,2,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,12,19,1,0,0,21,135,45,0,2,0,1,2,24,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.978331559638282,False,6.0,4
Gastón Martirena,WB,90,0,0,0,0,3,0,0.1,0.1,8,0,Racing Club - Deportivo Riestra,1–0,Racing Club,1,0,True,False,974,280,32,37,23,31,3,8,0.6,0.1,3,5,2,0,6,84,67,17,1,0,0,11,13,3,0,0,0,0,0,0,0,0,0,0,0,0,4,34,59,6,6,4,66,390,282,6,5,3,3,2,64,24,0,0,0,0,1,0,0,0,0,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.881067001563306,False,9.0,4
Agustín García Basso,CB,90,0,0,0,0,1,0,0.1,0.1,0,0,Racing Club - Deportivo Riestra,1–0,Racing Club,1,0,True,False,1095,302,24,28,26,33,8,13,0.0,0.1,0,6,3,1,4,78,70,8,5,0,0,4,3,0,0,0,0,0,0,2,1,1,3,4,0,3,28,50,12,1,0,0,40,177,99,0,0,0,0,0,52,2,0,0,0,3,1,0,0,0,0,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.017472176878161,False,9.0,4
Santiago Sosa,CB,90,0,0,0,0,1,0,0.0,0.0,5,0,Racing Club - Deportivo Riestra,1–0,Racing Club,1,0,True,False,2398,808,25,26,62,68,19,22,0.0,0.1,1,26,2,0,23,118,115,3,1,1,1,1,2,0,2,1,1,2,1,0,0,0,1,4,0,3,21,88,19,1,1,1,89,568,355,3,1,0,2,0,102,0,0,0,0,1,0,0,0,0,0,1,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.651061029345543,False,9.0,4
Marco Di Cesare,CB,90,0,0,0,0,0,0,0.0,0.0,3,0,Racing Club - Deportivo Riestra,1–0,Racing Club,1,0,True,False,1175,482,21,21,36,38,5,7,0.0,0.0,0,4,0,0,8,67,60,6,5,0,0,1,1,0,3,2,2,2,0,1,1,0,1,7,0,9,26,49,3,0,0,0,43,156,78,0,1,0,0,1,49,1,1,0,0,1,1,0,0,0,0,5,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.710050543807412,False,7.0,4
Gabriel Arias,GK,90,0,0,0,0,0,0,0.0,0.0,0,0,Racing Club - Deportivo Riestra,1–0,Racing Club,1,0,True,False,386,320,5,5,7,7,4,6,0.0,0.0,0,1,0,0,0,18,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,20,0,0,0,0,0,10,76,60,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,2.0,0.0,2.0,0.3,2.0,4.0,14.0,2.0,32.8,4.0,14.8,7.0,1.0,2.0,15.8,6.589764375234714,False,10.0,4
Jonathan Herrera,FW,89,0,0,0,0,0,0,0.0,0.0,1,0,Racing Club - Deportivo Riestra,1–0,Deportivo Riestra,0,1,False,False,87,41,3,7,3,4,0,1,0.0,0.0,1,0,0,0,0,13,12,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,3,0,3,9,3,16,2,3,1,13,65,10,0,0,0,6,2,18,11,0,0,0,0,1,0,0,0,0,2,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1208782448386225,False,6.0,4
Maximiliano Brito,FW,1,0,0,0,0,0,0,0.0,0.0,0,0,Racing Club - Deportivo Riestra,1–0,Deportivo Riestra,0,1,False,False,32,0,1,2,1,1,0,0,0.0,0.0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,0,0,0,1,2,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.684987990752482,False,6.0,4
Gustavo Fernández,FW,71,0,0,0,0,3,0,0.1,0.1,1,0,Racing Club - Deportivo Riestra,1–0,Deportivo Riestra,0,1,False,False,111,17,9,12,0,5,1,2,0.0,0.0,0,0,1,0,1,23,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,14,17,3,0,0,26,193,39,2,0,1,3,1,29,5,0,0,0,0,3,3,0,0,0,5,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.165105945989942,False,6.0,4
