Player,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,xG,npxG,SCA,GCA,match,score,team,team_goals,conceded_goals,win,tie,Total-TotDist,Total-PrgDist,Short-Cmp,Short-Att,Medium-Cmp,Medium-Att,Long-Cmp,Long-Att,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Tackles-Tkl,Tackles-TklW,Challenges-Tkl,Challenges-Att,Challenges-Lost,Blocks-Blocks,Blocks-Sh,Blocks-Pass,Int,Clr,Err,Touches-Def Pen,Touches-Def 3rd,Touches-Mid 3rd,Touches-Att 3rd,Touches-Att Pen,Take-Ons-Att,Take-Ons-Succ,Carries-Carries,Carries-TotDist,Carries-PrgDist,Carries-PrgC,Carries-1/3,Carries-CPA,Carries-Mis,Carries-Dis,Receiving-Rec,Receiving-PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Recov,Aerial Duels-Won,Aerial Duels-Lost,SoTA,GA,Saves,PSxG,Launched-Cmp,Launched-Att,Passes-Att (GK),Passes-Thr,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-AvgLen,Crosses-Opp,Crosses-Stp,Sweeper-#OPA,Sweeper-AvgDist,puntaje_modelo,figura,puntaje,fecha
Marcelo Estigarribia,FW,40,1,0,0,0,3,1,0.8,0.8,2,1,Atlé Tucumán - Sarmiento,1–0,Atlé Tucumán,1,0,True,False,111,60,4,6,3,4,0,0,0.0,0.0,1,1,1,0,3,11,11,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,6,11,5,0,0,8,12,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.459476658891256,True,14.0,21
Franco Nicola,FW,50,0,0,0,0,1,0,0.0,0.0,2,0,Atlé Tucumán - Sarmiento,1–0,Atlé Tucumán,1,0,True,False,65,19,7,10,0,0,0,0,0.6,0.0,2,1,0,0,0,13,13,0,0,0,0,0,0,0,2,2,1,1,0,1,1,0,0,2,0,2,8,8,6,2,0,0,9,22,2,0,0,0,3,2,14,2,0,0,0,1,1,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.864919243028126,False,7.0,21
Mateo Coronel,FW,81,0,0,0,0,2,0,0.6,0.6,6,0,Atlé Tucumán - Sarmiento,1–0,Atlé Tucumán,1,0,True,False,235,112,12,13,3,3,2,3,0.4,0.2,4,0,0,0,1,23,19,4,0,0,0,3,1,3,0,0,0,0,0,1,0,1,0,0,0,0,1,12,20,4,2,0,23,89,45,1,1,1,2,0,23,8,1,0,0,1,1,2,0,0,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.658694322041312,False,5.0,21
Luis Miguel Rodríguez,FW,9,0,0,0,0,0,0,0.0,0.0,0,0,Atlé Tucumán - Sarmiento,1–0,Atlé Tucumán,1,0,True,False,5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.278975350618776,False,6.0,21
Mateo Bajamich,M,76,0,0,0,0,2,2,0.4,0.4,5,0,Atlé Tucumán - Sarmiento,1–0,Atlé Tucumán,1,0,True,False,149,63,10,13,2,4,0,2,0.0,0.1,1,2,2,1,2,25,24,0,0,0,0,3,0,0,1,1,1,2,1,0,0,0,0,1,0,1,4,15,14,3,2,1,22,105,42,0,1,0,1,0,27,6,0,0,0,0,2,0,0,0,0,4,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.011710666170386,False,7.0,21
Francisco Bonfiglio,M,14,0,0,0,0,0,0,0.0,0.0,0,0,Atlé Tucumán - Sarmiento,1–0,Atlé Tucumán,1,0,True,False,38,0,1,1,1,1,0,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,2,3,1,0,0,3,9,1,0,0,0,1,1,4,0,0,0,0,1,0,1,0,0,0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.19347693228488,False,6.0,21
Nicolás Castro,CM,90,0,0,0,0,1,1,0.0,0.0,3,0,Atlé Tucumán - Sarmiento,1–0,Atlé Tucumán,1,0,True,False,385,141,10,14,12,13,0,13,0.1,0.1,2,3,1,1,4,49,41,7,0,0,0,9,1,6,2,2,2,3,1,1,0,1,2,2,0,2,17,25,17,1,1,0,22,123,56,2,0,0,1,0,22,2,1,0,0,2,1,0,0,0,0,4,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.31371134537631,False,5.0,21
Adrián Guillermo Sánchez,CM,90,0,0,0,0,0,0,0.0,0.0,1,0,Atlé Tucumán - Sarmiento,1–0,Atlé Tucumán,1,0,True,False,767,224,14,14,18,20,6,9,0.0,0.0,0,7,1,1,3,45,44,1,1,0,1,1,0,0,1,0,0,0,0,2,0,2,0,4,0,4,15,34,6,0,0,0,26,123,43,0,0,0,0,0,31,1,0,0,0,1,1,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7163378168097765,False,7.0,21
Renzo Tesuri,M,76,0,0,0,0,1,0,0.0,0.0,2,0,Atlé Tucumán - Sarmiento,1–0,Atlé Tucumán,1,0,True,False,269,95,11,12,6,7,1,1,0.1,0.1,1,1,3,1,5,24,23,1,0,0,0,2,0,0,2,2,2,3,1,1,0,1,0,0,0,0,0,10,23,2,2,0,17,73,36,1,2,0,2,0,20,3,1,0,0,2,1,0,0,0,0,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.481832926568955,False,4.0,21
Tomás Castro,M,14,0,0,0,0,0,0,0.0,0.0,0,0,Atlé Tucumán - Sarmiento,1–0,Atlé Tucumán,1,0,True,False,44,40,0,0,0,1,1,1,0.0,0.0,0,1,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,4,3,0,0,0,0,1,1,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.487290415832704,False,6.0,21
Juan Infante,FB,90,0,0,0,0,5,2,0.2,0.2,3,0,Atlé Tucumán - Sarmiento,1–0,Atlé Tucumán,1,0,True,False,427,154,11,14,9,15,3,8,0.0,0.0,1,2,1,0,3,39,28,11,1,0,1,3,10,0,1,1,1,1,0,1,0,1,2,0,0,2,16,14,19,5,0,0,19,77,30,1,1,0,0,0,19,2,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.946820011741658,False,9.0,21
