Player,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,xG,npxG,SCA,GCA,match,score,team,team_goals,conceded_goals,win,tie,Total-TotDist,Total-PrgDist,Short-Cmp,Short-Att,Medium-Cmp,Medium-Att,Long-Cmp,Long-Att,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Tackles-Tkl,Tackles-TklW,Challenges-Tkl,Challenges-Att,Challenges-Lost,Blocks-Blocks,Blocks-Sh,Blocks-Pass,Int,Clr,Err,Touches-Def Pen,Touches-Def 3rd,Touches-Mid 3rd,Touches-Att 3rd,Touches-Att Pen,Take-Ons-Att,Take-Ons-Succ,Carries-Carries,Carries-TotDist,Carries-PrgDist,Carries-PrgC,Carries-1/3,Carries-CPA,Carries-Mis,Carries-Dis,Receiving-Rec,Receiving-PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Recov,Aerial Duels-Won,Aerial Duels-Lost,SoTA,GA,Saves,PSxG,Launched-Cmp,Launched-Att,Passes-Att (GK),Passes-Thr,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-AvgLen,Crosses-Opp,Crosses-Stp,Sweeper-#OPA,Sweeper-AvgDist,puntaje_modelo,figura,puntaje,fecha
Jonathan Herrera,FW,77,2,0,1,1,1,1,1.0,0.2,2.0,0.0,Deportivo Riestra - Newell's OB,3–3,Deportivo Riestra,3,3,False,True,141.0,17.0,9.0,11.0,3.0,4.0,0.0,1.0,0.3,0.2,2.0,0.0,1.0,0.0,1.0,17.0,13.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0,3.0,10.0,14.0,8.0,2.0,0.0,8.0,32.0,6.0,1.0,0.0,0.0,3.0,0.0,16.0,5.0,0,0,0,1,3,0,0.0,0.0,0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.760344363765546,False,13.0,16
Nicolás Benegas,FW,13,1,0,0,0,2,1,0.1,0.1,1.0,0.0,Deportivo Riestra - Newell's OB,3–3,Deportivo Riestra,3,3,False,True,33.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,1.0,0.0,7.0,54.0,16.0,1.0,0.0,0.0,2.0,2.0,7.0,3.0,0,0,0,1,1,0,0.0,0.0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6321205309151,False,10.0,16
Maximiliano Brito,FW,36,0,0,0,0,2,0,0.2,0.2,0.0,0.0,Deportivo Riestra - Newell's OB,3–3,Deportivo Riestra,3,3,False,True,11.0,9.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,1.0,3.0,2.0,3.0,3.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.836263461521999,False,6.0,16
Antony Alonso,FW,41,0,0,0,0,1,0,0.2,0.2,1.0,1.0,Deportivo Riestra - Newell's OB,3–3,Deportivo Riestra,3,3,False,True,11.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,18.0,17.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0,0,0,1,1,0,1.0,0.0,0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.664774192047731,False,7.0,16
Jonathan Goya,FW,13,0,0,0,0,0,0,0.0,0.0,2.0,0.0,Deportivo Riestra - Newell's OB,3–3,Deportivo Riestra,3,3,False,True,44.0,16.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.1,1.0,0.0,1.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,3.0,2.0,4.0,0.0,0.0,0.0,1.0,16.0,16.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.739062603116702,False,6.0,16
Brían Sánchez,M,73,0,0,0,0,1,0,0.1,0.1,3.0,1.0,Deportivo Riestra - Newell's OB,3–3,Deportivo Riestra,3,3,False,True,327.0,102.0,8.0,10.0,7.0,10.0,2.0,4.0,0.0,0.1,0.0,2.0,3.0,0.0,4.0,26.0,26.0,0.0,0.0,0.0,1.0,0,0.0,0.0,2.0,2,0.0,3.0,3.0,3.0,0.0,3.0,1,0.0,0.0,0.0,6.0,21.0,10.0,2.0,2.0,0.0,11.0,28.0,12.0,0.0,1.0,0.0,4.0,0.0,21.0,1.0,0,0,0,4,3,1,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.064719635880026,False,6.0,16
Tomás Villoldo,M,17,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Deportivo Riestra - Newell's OB,3–3,Deportivo Riestra,3,3,False,True,7.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,0.0,1,0.0,1.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.817235313262499,False,6.0,16
Pablo Monje,CM,90,0,0,0,0,0,0,0.0,0.0,1.0,1.0,Deportivo Riestra - Newell's OB,3–3,Deportivo Riestra,3,3,False,True,393.0,194.0,4.0,5.0,6.0,8.0,5.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,23.0,17.0,6.0,2.0,0.0,0.0,1,4.0,0.0,2.0,2,1.0,3.0,2.0,4.0,0.0,4.0,2,2.0,0.0,3.0,9.0,15.0,10.0,0.0,4.0,3.0,5.0,29.0,24.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0,0,0,0,0,0,0.0,0.0,0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.576735706910063,False,7.0,16
Jonatan Goitía,CM,90,0,0,0,0,2,0,0.0,0.0,1.0,0.0,Deportivo Riestra - Newell's OB,3–3,Deportivo Riestra,3,3,False,True,336.0,98.0,0.0,4.0,6.0,15.0,4.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,27.0,17.0,10.0,4.0,0.0,1.0,2,6.0,0.0,3.0,1,1.0,1.0,0.0,0.0,0.0,0.0,2,2.0,0.0,3.0,12.0,19.0,6.0,0.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1,0,0,2,0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1606203837602544,False,4.0,16
Gonzalo Bravo,M,36,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Deportivo Riestra - Newell's OB,3–3,Deportivo Riestra,3,3,False,True,24.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.927610511522699,False,6.0,16
