Player,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,xG,npxG,SCA,GCA,match,score,team,team_goals,conceded_goals,win,tie,Total-TotDist,Total-PrgDist,Short-Cmp,Short-Att,Medium-Cmp,Medium-Att,Long-Cmp,Long-Att,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Tackles-Tkl,Tackles-TklW,Challenges-Tkl,Challenges-Att,Challenges-Lost,Blocks-Blocks,Blocks-Sh,Blocks-Pass,Int,Clr,Err,Touches-Def Pen,Touches-Def 3rd,Touches-Mid 3rd,Touches-Att 3rd,Touches-Att Pen,Take-Ons-Att,Take-Ons-Succ,Carries-Carries,Carries-TotDist,Carries-PrgDist,Carries-PrgC,Carries-1/3,Carries-CPA,Carries-Mis,Carries-Dis,Receiving-Rec,Receiving-PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Recov,Aerial Duels-Won,Aerial Duels-Lost,SoTA,GA,Saves,PSxG,Launched-Cmp,Launched-Att,Passes-Att (GK),Passes-Thr,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-AvgLen,Crosses-Opp,Crosses-Stp,Sweeper-#OPA,Sweeper-AvgDist,puntaje_modelo,figura,puntaje,fecha
Rodrigo Castillo,FW,90,0,0,0,0,4,1,0.2,0.2,3,0,Gimnasia–LP - Deportivo Riestra,0–0,Gimnasia–LP,0,0,False,True,392,93,16,23,8,10,2,3,0.1,0.1,2,4,1,0,5,37,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,28,8,1,1,22,170,30,1,3,0,5,1,39,10,0,0,0,1,0,2,0,0,0,4,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.465587484773108,False,6.0,15
David Zalazar,W,80,0,0,0,0,5,1,0.3,0.3,2,0,Gimnasia–LP - Deportivo Riestra,0–0,Gimnasia–LP,0,0,False,True,409,173,9,10,11,14,3,7,0.1,0.2,2,1,2,2,4,33,30,3,1,0,0,7,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,20,28,6,6,2,23,92,37,2,0,1,4,0,37,11,0,0,0,0,0,0,0,0,0,4,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.758064548148943,False,7.0,15
Pablo de Blasis,W,10,0,0,0,0,0,0,0.0,0.0,1,0,Gimnasia–LP - Deportivo Riestra,0–0,Gimnasia–LP,0,0,False,True,311,100,6,6,6,7,3,6,0.1,0.2,1,4,1,1,3,20,18,2,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15,5,0,1,1,10,45,34,2,1,0,0,0,13,1,0,0,0,0,0,0,0,0,0,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.245439745556027,False,6.0,15
Matías Abaldo,W,90,0,0,0,0,3,1,0.2,0.2,7,0,Gimnasia–LP - Deportivo Riestra,0–0,Gimnasia–LP,0,0,False,True,599,150,21,28,11,16,3,6,0.3,0.2,5,2,2,2,6,53,49,4,0,0,1,7,2,2,0,0,0,1,1,1,0,1,0,0,0,0,1,16,54,12,8,5,40,189,96,5,1,1,7,2,55,15,0,0,0,0,2,2,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7512978699061685,False,7.0,15
Nicolás Colazo,M,90,0,0,0,0,0,0,0.0,0.0,3,0,Gimnasia–LP - Deportivo Riestra,0–0,Gimnasia–LP,0,0,False,True,754,290,18,20,20,25,4,7,0.0,0.1,1,2,3,2,4,54,43,11,0,0,1,7,11,0,4,4,3,4,1,1,0,1,1,1,0,1,12,27,25,0,2,2,28,145,90,1,1,0,2,0,36,9,0,0,0,1,0,0,0,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.533732686926959,False,7.0,15
Nicolás Garayalde,CM,80,0,0,0,0,3,1,0.1,0.1,6,0,Gimnasia–LP - Deportivo Riestra,0–0,Gimnasia–LP,0,0,False,True,991,211,19,24,29,35,4,4,0.0,0.0,1,6,1,0,6,65,64,1,1,0,1,1,0,0,3,2,0,1,1,3,0,3,1,0,0,0,8,54,19,0,2,1,35,185,90,2,0,0,0,1,53,0,0,0,0,1,1,0,0,0,0,8,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.415466575654095,False,6.0,15
Santino Primante,CM,10,0,0,0,0,0,0,0.0,0.0,0,0,Gimnasia–LP - Deportivo Riestra,0–0,Gimnasia–LP,0,0,False,True,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.866500681280387,False,6.0,15
Martín Fernández,CM,90,0,0,0,0,0,0,0.0,0.0,1,0,Gimnasia–LP - Deportivo Riestra,0–0,Gimnasia–LP,0,0,False,True,867,208,16,20,24,30,5,8,0.0,0.0,0,5,1,0,4,60,59,1,1,0,1,1,0,0,1,0,1,2,1,0,0,0,0,1,0,1,6,45,14,0,2,0,34,159,55,0,2,0,1,1,46,5,1,0,0,1,2,0,0,0,0,5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.085204432981073,False,4.0,15
Juan Pintado,M,90,0,0,0,0,0,0,0.0,0.0,4,0,Gimnasia–LP - Deportivo Riestra,0–0,Gimnasia–LP,0,0,False,True,1009,622,32,37,18,25,7,19,0.0,0.1,0,9,5,0,13,86,71,13,0,0,2,11,13,0,3,2,2,4,2,2,0,2,1,3,0,2,19,44,41,0,1,1,51,288,178,6,6,0,2,2,61,14,0,0,0,0,2,0,0,0,0,10,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.766584089057229,False,7.0,15
Enzo Martínez,CB,90,0,0,0,0,0,0,0.0,0.0,0,0,Gimnasia–LP - Deportivo Riestra,0–0,Gimnasia–LP,0,0,False,True,1111,512,20,21,17,28,14,20,0.0,0.0,0,6,0,0,7,72,68,4,2,0,3,1,2,0,2,2,1,2,1,0,0,0,4,3,0,3,33,47,3,0,0,0,41,220,139,2,1,0,0,0,37,0,0,0,0,0,1,0,0,0,0,15,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.986696110204034,False,9.0,15
