Player,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,xG,npxG,SCA,GCA,match,score,team,team_goals,conceded_goals,win,tie,Total-TotDist,Total-PrgDist,Short-Cmp,Short-Att,Medium-Cmp,Medium-Att,Long-Cmp,Long-Att,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Tackles-Tkl,Tackles-TklW,Challenges-Tkl,Challenges-Att,Challenges-Lost,Blocks-Blocks,Blocks-Sh,Blocks-Pass,Int,Clr,Err,Touches-Def Pen,Touches-Def 3rd,Touches-Mid 3rd,Touches-Att 3rd,Touches-Att Pen,Take-Ons-Att,Take-Ons-Succ,Carries-Carries,Carries-TotDist,Carries-PrgDist,Carries-PrgC,Carries-1/3,Carries-CPA,Carries-Mis,Carries-Dis,Receiving-Rec,Receiving-PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Recov,Aerial Duels-Won,Aerial Duels-Lost,SoTA,GA,Saves,PSxG,Launched-Cmp,Launched-Att,Passes-Att (GK),Passes-Thr,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-AvgLen,Crosses-Opp,Crosses-Stp,Sweeper-#OPA,Sweeper-AvgDist,puntaje_modelo,figura,puntaje,fecha
Mateo Pellegrino,FW,90,0,0,0,0,3,1,0.2,0.2,4,0,Platense - Barracas Central,0–0,Platense,0,0,False,True,196,75,10,18,4,6,0,0,0.0,0.0,2,2,1,0,5,26,26,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,3,0,3,4,18,26,5,1,0,17,33,9,1,0,1,6,2,29,5,0,0,0,2,1,0,0,0,0,4,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2070382747620325,False,6.0,11
Augusto Lotti,FW,65,0,0,0,0,2,1,0.2,0.2,1,0,Platense - Barracas Central,0–0,Platense,0,0,False,True,119,25,7,12,2,2,0,0,0.0,0.0,0,1,1,0,1,15,14,1,0,0,0,0,0,0,1,0,1,3,2,0,0,0,0,0,0,0,0,8,14,3,2,1,3,15,12,0,0,0,2,1,11,3,0,0,0,2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.200704727237945,False,6.0,11
Ronaldo Martínez,FW,25,0,0,0,0,0,0,0.0,0.0,0,0,Platense - Barracas Central,0–0,Platense,0,0,False,True,23,7,2,6,0,3,0,0,0.0,0.0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,3,3,10,2,0,0,6,20,6,0,0,0,3,1,9,3,0,0,0,1,0,0,0,0,0,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8841950682148445,False,6.0,11
Franco Minerva,M,77,0,0,0,0,2,1,0.1,0.1,2,0,Platense - Barracas Central,0–0,Platense,0,0,False,True,200,126,5,10,4,11,2,3,0.1,0.2,1,2,2,1,1,26,22,4,0,0,0,9,2,2,3,3,1,2,1,3,0,3,2,0,0,1,3,11,27,4,1,1,14,78,51,1,0,0,2,1,19,5,0,0,0,0,1,1,0,0,0,1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8279219901064545,False,7.0,11
Franco Baldassarra,M,13,0,0,0,0,1,0,0.0,0.0,1,0,Platense - Barracas Central,0–0,Platense,0,0,False,True,16,0,2,2,0,0,0,0,0.1,0.1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,5,1,0,0,4,13,5,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.001642862852132,False,6.0,11
Carlos Villalba,CM,65,0,0,0,0,0,0,0.0,0.0,0,0,Platense - Barracas Central,0–0,Platense,0,0,False,True,126,34,4,6,4,6,0,1,0.0,0.0,0,1,0,0,3,13,13,0,0,0,0,1,0,0,1,0,1,2,1,2,0,2,1,0,0,0,0,14,9,1,2,0,1,2,0,0,0,0,3,0,3,1,0,0,0,1,0,0,0,0,0,1,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.008410671478578,False,6.0,11
Leonel Picco,CM,25,0,0,0,0,0,0,0.0,0.0,0,0,Platense - Barracas Central,0–0,Platense,0,0,False,True,58,7,1,2,3,3,0,0,0.0,0.0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,1,0,0,0,1,4,6,2,0,0,1,5,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.073310797170653,False,6.0,11
Fernando Juárez,CM,90,0,0,0,0,0,0,0.0,0.0,5,0,Platense - Barracas Central,0–0,Platense,0,0,False,True,473,257,13,17,8,12,4,5,0.2,0.1,3,7,2,0,8,40,39,1,1,0,0,2,0,0,1,1,0,1,1,2,1,1,2,5,0,3,12,33,13,0,1,0,20,104,53,2,1,0,3,1,20,3,1,0,0,1,1,0,0,0,0,11,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.725476664864673,False,5.0,11
Guido Mainero,M,77,0,0,0,0,3,2,0.1,0.1,2,0,Platense - Barracas Central,0–0,Platense,0,0,False,True,342,82,8,10,4,9,4,10,0.0,0.1,1,2,2,1,3,33,25,8,0,0,1,11,3,5,4,3,2,2,0,1,0,1,1,0,0,0,3,19,28,0,3,1,23,158,78,5,3,0,6,0,27,9,1,0,0,4,0,0,0,0,0,7,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.594267165135023,False,5.0,11
Manuel Tucker,M,13,0,0,0,0,0,0,0.0,0.0,0,0,Platense - Barracas Central,0–0,Platense,0,0,False,True,52,0,4,4,1,3,0,2,0.0,0.0,0,0,0,0,0,9,8,1,1,0,0,3,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,2,7,0,0,0,4,26,9,1,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.905529993428173,False,6.0,11
Sasha Marcich,FB,90,0,0,0,0,1,0,0.6,0.6,4,0,Platense - Barracas Central,0–0,Platense,0,0,False,True,274,169,5,6,11,22,0,1,0.0,0.1,1,1,1,1,4,31,17,13,0,0,0,3,13,0,3,1,1,1,0,2,0,2,3,2,0,1,3,21,26,1,2,1,10,53,33,1,4,0,2,0,9,1,0,0,0,4,1,0,0,0,0,6,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2575624918288115,False,8.0,11
Gastón Suso,CB,90,0,0,0,0,0,0,0.0,0.0,0,0,Platense - Barracas Central,0–0,Platense,0,0,False,True,381,207,0,0,8,12,5,7,0.0,0.0,0,3,0,0,1,19,17,2,2,0,0,0,0,0,2,2,1,1,0,0,0,0,0,2,0,2,10,17,0,0,0,0,6,48,34,0,0,0,1,0,7,0,0,0,0,1,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.347086459010222,False,8.0,11
Ignacio Vázquez,CB,90,0,0,0,0,1,0,0.1,0.1,2,0,Platense - Barracas Central,0–0,Platense,0,0,False,True,433,292,3,7,11,14,3,5,0.6,0.0,1,4,1,0,7,27,24,3,3,0,1,0,0,0,2,2,2,2,0,3,2,1,1,3,0,5,11,22,4,2,0,0,8,24,5,0,0,0,0,0,12,1,1,0,0,1,3,0,0,0,0,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.816297584261054,False,7.0,11
Bautista Barros Schelotto,FB,77,0,0,0,0,0,0,0.0,0.0,0,0,Platense - Barracas Central,0–0,Platense,0,0,False,True,392,291,7,10,11,16,2,3,0.0,0.0,0,3,0,0,3,30,16,14,0,0,0,2,14,0,2,2,2,3,1,2,1,1,1,1,0,2,6,22,9,1,0,0,9,57,20,0,0,0,1,0,8,3,1,0,0,1,0,0,0,0,0,5,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.930642090948091,False,6.0,11
Oscar Salomón,FB,13,0,0,0,0,0,0,0.0,0.0,0,0,Platense - Barracas Central,0–0,Platense,0,0,False,True,109,60,3,3,4,5,0,1,0.0,0.0,0,1,0,0,0,9,6,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4,5,0,0,0,3,15,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.882662774269584,False,8.0,11
Juan Cozzani,GK,90,0,0,0,0,0,0,0.0,0.0,1,0,Platense - Barracas Central,0–0,Platense,0,0,False,True,298,247,0,0,3,3,4,19,0.0,0.0,0,0,0,0,0,22,11,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,2,0,0,0,0,9,59,49,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,1,0,0,1.0,0.0,1.0,0.1,3.0,17.0,16.0,1.0,48.5,6.0,68.0,8.0,1.0,0.0,10.5,5.7372301302586735,False,9.0,11
Jhonatan Candia,FW,74,0,0,0,0,0,0,0.0,0.0,1,0,Platense - Barracas Central,0–0,Barracas Central,0,0,False,True,105,18,3,5,4,5,0,2,0.0,0.0,1,1,1,0,2,15,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,12,5,0,1,1,9,51,37,0,0,0,1,0,14,2,0,0,0,0,0,0,0,0,0,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.309523048889826,False,6.0,11
Alexis Dominguez,FW,16,0,0,0,0,0,0,0.0,0.0,0,0,Platense - Barracas Central,0–0,Barracas Central,0,0,False,True,37,0,1,1,1,2,0,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,2,0,1,0,4,37,1,0,0,0,1,1,4,1,0,0,0,1,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.905251396667202,False,6.0,11
Maximiliano Zalazar,W,65,0,0,0,0,0,0,0.0,0.0,3,0,Platense - Barracas Central,0–0,Barracas Central,0,0,False,True,173,55,3,3,4,7,1,2,0.0,0.0,2,0,1,0,1,12,7,5,1,0,0,4,0,4,0,0,0,1,1,2,0,2,0,1,0,1,1,8,11,0,5,1,10,65,20,1,1,0,1,1,12,5,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.047809486733449,False,6.0,11
Santiago Coronel,W,25,0,0,0,0,1,0,0.0,0.0,2,0,Platense - Barracas Central,0–0,Barracas Central,0,0,False,True,185,62,9,10,2,3,1,4,0.0,0.0,1,3,0,0,1,18,14,4,3,1,2,0,1,0,2,1,1,1,0,1,0,1,0,1,0,1,7,15,1,0,0,0,10,116,77,1,0,0,0,1,11,1,0,0,0,0,0,0,0,0,0,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.09743668841441,False,6.0,11
Marco Iacobellis,W,84,0,0,0,0,2,0,0.0,0.0,2,0,Platense - Barracas Central,0–0,Barracas Central,0,0,False,True,261,124,15,18,3,3,1,4,0.0,0.0,0,2,0,0,3,29,28,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,2,1,0,2,14,20,10,1,3,2,22,134,54,1,0,0,3,5,27,2,0,0,0,1,3,1,0,0,0,5,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.419629351393921,False,6.0,11
Federico Aguirre,W,6,0,0,0,0,0,0,0.0,0.0,0,0,Platense - Barracas Central,0–0,Barracas Central,0,0,False,True,9,0,1,2,0,0,0,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,4,2,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.907785743432583,False,6.0,11
