Player,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,xG,npxG,SCA,GCA,match,score,team,team_goals,conceded_goals,win,tie,Total-TotDist,Total-PrgDist,Short-Cmp,Short-Att,Medium-Cmp,Medium-Att,Long-Cmp,Long-Att,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Tackles-Tkl,Tackles-TklW,Challenges-Tkl,Challenges-Att,Challenges-Lost,Blocks-Blocks,Blocks-Sh,Blocks-Pass,Int,Clr,Err,Touches-Def Pen,Touches-Def 3rd,Touches-Mid 3rd,Touches-Att 3rd,Touches-Att Pen,Take-Ons-Att,Take-Ons-Succ,Carries-Carries,Carries-TotDist,Carries-PrgDist,Carries-PrgC,Carries-1/3,Carries-CPA,Carries-Mis,Carries-Dis,Receiving-Rec,Receiving-PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Recov,Aerial Duels-Won,Aerial Duels-Lost,SoTA,GA,Saves,PSxG,Launched-Cmp,Launched-Att,Passes-Att (GK),Passes-Thr,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-AvgLen,Crosses-Opp,Crosses-Stp,Sweeper-#OPA,Sweeper-AvgDist,puntaje_modelo,figura,puntaje,fecha
Sebastián Villa,FW,86,1,0,0,0,2,1,0.2,0.2,4,0,Independiente Rivadavia - Independiente,1–0,Independiente Rivadavia,1,0,True,False,252,83,8,11,2,6,3,4,0.3,0.6,3,1,0,0,1,23,19,4,1,1,1,7,0,3,1,0,0,1,1,1,0,1,0,1,0,1,1,12,25,4,7,1,20,157,115,6,2,3,3,2,25,7,0,0,0,3,0,1,0,0,0,3,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.858448708009556,True,15.0,8
Diego Tonetto,FW,4,0,0,0,0,0,0,0.0,0.0,1,0,Independiente Rivadavia - Independiente,1–0,Independiente Rivadavia,1,0,True,False,23,0,2,3,0,0,0,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.166934460433964,False,6.0,8
Fernando Romero,FW,58,0,0,0,0,1,0,0.2,0.2,1,0,Independiente Rivadavia - Independiente,1–0,Independiente Rivadavia,1,0,True,False,60,6,6,8,0,0,0,0,0.0,0.0,1,1,1,0,2,8,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,12,8,3,1,0,12,63,23,2,1,0,6,1,15,2,0,0,0,0,0,1,0,0,0,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.184395938673417,False,6.0,8
Mauricio Asenjo,FW,32,0,0,0,0,1,1,0.1,0.1,1,0,Independiente Rivadavia - Independiente,1–0,Independiente Rivadavia,1,0,True,False,86,0,3,5,3,3,0,1,0.0,0.0,0,0,0,0,0,9,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,2,0,7,41,0,0,0,0,0,1,12,0,1,0,0,2,0,0,0,0,0,1,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5255306977035925,False,5.0,8
Lautaro Ríos,CM,70,0,0,0,0,1,0,0.0,0.0,1,0,Independiente Rivadavia - Independiente,1–0,Independiente Rivadavia,1,0,True,False,221,112,9,10,5,5,0,0,0.0,0.0,0,2,1,0,5,16,16,0,0,0,0,0,0,0,2,2,1,1,0,2,0,2,0,1,0,0,5,18,5,1,1,0,12,62,5,0,0,0,0,3,17,5,0,0,0,2,0,0,0,0,0,4,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.343985296676628,False,6.0,8
Luis Sequeira,CM,20,0,0,0,0,1,1,0.0,0.0,1,0,Independiente Rivadavia - Independiente,1–0,Independiente Rivadavia,1,0,True,False,159,75,1,1,3,4,2,2,0.0,0.0,1,1,0,0,1,8,7,1,0,0,0,1,0,1,2,1,2,2,0,1,0,1,0,0,0,0,1,9,3,0,2,1,7,47,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.553033137605939,False,7.0,8
Franco Romero,CM,90,0,0,0,0,0,0,0.0,0.0,0,0,Independiente Rivadavia - Independiente,1–0,Independiente Rivadavia,1,0,True,False,180,58,5,9,6,7,0,0,0.0,0.0,0,2,0,0,2,17,16,0,0,0,0,0,0,0,5,3,2,3,1,1,0,1,2,2,0,1,7,23,2,0,3,0,9,53,25,0,0,0,1,1,7,0,0,0,0,0,2,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.966702102009416,False,7.0,8
Ezequiel Ham,CM,70,0,1,0,0,0,0,0.0,0.0,1,1,Independiente Rivadavia - Independiente,1–0,Independiente Rivadavia,1,0,True,False,262,116,4,5,8,12,1,2,0.2,0.2,1,2,1,0,4,21,19,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,2,18,9,1,0,0,13,74,59,2,1,0,1,2,15,2,0,0,0,1,1,0,0,0,0,3,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.890536708606106,False,8.0,8
Agustín Mulet,CM,20,0,0,0,0,0,0,0.0,0.0,0,0,Independiente Rivadavia - Independiente,1–0,Independiente Rivadavia,1,0,True,False,45,3,1,2,1,3,0,0,0.0,0.0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,4,6,1,0,0,0,2,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.478167192304623,False,6.0,8
Tobías Ostchega,FB,90,0,0,0,0,1,1,0.4,0.4,0,0,Independiente Rivadavia - Independiente,1–0,Independiente Rivadavia,1,0,True,False,313,253,8,14,7,13,1,4,0.0,0.0,0,2,0,0,2,34,22,12,1,0,0,2,11,0,4,3,3,3,0,3,0,3,3,0,0,0,10,29,9,3,2,1,12,38,7,0,0,0,1,1,19,4,0,0,0,0,1,0,0,0,0,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.841969076613002,False,9.0,8
