Player,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,xG,npxG,SCA,GCA,match,score,team,team_goals,conceded_goals,win,tie,Total-TotDist,Total-PrgDist,Short-Cmp,Short-Att,Medium-Cmp,Medium-Att,Long-Cmp,Long-Att,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Tackles-Tkl,Tackles-TklW,Challenges-Tkl,Challenges-Att,Challenges-Lost,Blocks-Blocks,Blocks-Sh,Blocks-Pass,Int,Clr,Err,Touches-Def Pen,Touches-Def 3rd,Touches-Mid 3rd,Touches-Att 3rd,Touches-Att Pen,Take-Ons-Att,Take-Ons-Succ,Carries-Carries,Carries-TotDist,Carries-PrgDist,Carries-PrgC,Carries-1/3,Carries-CPA,Carries-Mis,Carries-Dis,Receiving-Rec,Receiving-PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Recov,Aerial Duels-Won,Aerial Duels-Lost,SoTA,GA,Saves,PSxG,Launched-Cmp,Launched-Att,Passes-Att (GK),Passes-Thr,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-AvgLen,Crosses-Opp,Crosses-Stp,Sweeper-#OPA,Sweeper-AvgDist,puntaje_modelo,figura,puntaje,fecha
Iván Morales Bravo,FW,80,0,0,0,0,1,1,0.1,0.1,1,0,Sarmiento - Independiente,0–0,Sarmiento,0,0,False,True,164,42,5,7,3,3,1,2,0.0,0.0,1,2,0,0,2,14,13,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,11,9,3,2,1,15,97,64,3,1,2,2,3,17,4,0,0,0,1,0,0,0,0,0,2,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2268849610068395,False,6.0,20
Lisandro López,FW,10,0,0,0,0,0,0,0.0,0.0,0,0,Sarmiento - Independiente,0–0,Sarmiento,0,0,False,True,17,9,2,4,0,1,0,0,0.0,0.0,0,0,1,0,1,5,5,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,6,1,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.921033957950733,False,6.0,20
Gabriel Hauche,M,71,0,0,0,0,1,0,0.1,0.1,1,0,Sarmiento - Independiente,0–0,Sarmiento,0,0,False,True,167,84,5,6,4,5,1,3,0.0,0.0,0,0,0,0,1,16,15,1,0,0,0,0,1,0,3,2,1,2,1,1,1,0,1,3,0,4,9,10,5,1,0,0,10,41,23,1,0,0,1,0,12,4,0,0,0,0,3,0,0,0,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.619276807410974,False,7.0,20
Yair Ezequiel Arismendi,FB,19,0,0,0,0,0,0,0.0,0.0,0,0,Sarmiento - Independiente,0–0,Sarmiento,0,0,False,True,90,44,2,2,3,5,0,1,0.0,0.0,0,1,0,0,1,8,7,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,3,0,0,0,5,23,3,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9898957064785145,False,8.0,20
Nicolás Gaitán,CM,90,0,0,0,0,0,0,0.0,0.0,2,0,Sarmiento - Independiente,0–0,Sarmiento,0,0,False,True,302,146,5,10,9,12,2,8,0.3,0.0,2,3,0,0,5,31,26,4,4,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,3,18,12,2,0,0,13,69,44,1,1,0,0,1,22,4,0,0,0,1,0,0,0,0,0,5,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.281898630287419,False,6.0,20
Manuel Mónaco,CM,76,0,0,0,0,2,1,0.9,0.9,1,0,Sarmiento - Independiente,0–0,Sarmiento,0,0,False,True,149,36,9,9,3,4,0,0,0.0,0.0,0,1,1,0,3,16,16,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,1,0,2,6,11,11,3,2,1,14,68,35,2,1,1,3,0,14,5,1,0,0,1,1,0,0,0,0,3,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.082691211376469,False,4.0,20
Manuel García,DM,14,0,0,0,0,0,0,0.0,0.0,0,0,Sarmiento - Independiente,0–0,Sarmiento,0,0,False,True,55,5,2,2,0,0,1,2,0.0,0.0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,2,3,1,0,0,0,3,9,0,0,0,0,0,2,4,1,0,0,0,1,0,0,0,0,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.931204609623126,False,7.0,20
Joaquín Gho,M,71,0,0,0,0,2,0,0.1,0.1,5,0,Sarmiento - Independiente,0–0,Sarmiento,0,0,False,True,184,134,5,10,2,6,2,4,0.8,0.4,2,0,0,0,0,24,22,2,0,1,0,4,1,1,3,1,2,2,0,0,0,0,1,1,0,1,6,14,16,3,3,2,16,130,41,1,1,0,1,0,17,3,0,0,0,2,2,1,0,0,0,7,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.20790298872019,True,11.0,20
Bryan Cabezas,W,19,0,0,0,0,0,0,0.0,0.0,0,0,Sarmiento - Independiente,0–0,Sarmiento,0,0,False,True,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.871805265222636,False,6.0,20
Tomas Guiacobini,DM,90,0,0,0,0,0,0,0.0,0.0,1,0,Sarmiento - Independiente,0–0,Sarmiento,0,0,False,True,253,86,11,14,5,9,1,2,0.0,0.0,1,1,0,0,3,26,25,1,1,0,1,0,0,0,1,0,1,1,0,3,1,2,1,2,0,5,11,20,3,0,0,0,11,33,11,0,2,0,2,0,15,0,0,0,0,1,0,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.27364726575453,False,7.0,20
Gabriel Díaz,FB,80,0,0,0,0,0,0,0.0,0.0,0,0,Sarmiento - Independiente,0–0,Sarmiento,0,0,False,True,260,183,5,7,8,12,1,5,0.0,0.0,0,2,0,0,4,25,17,8,0,0,0,1,8,0,1,0,0,2,2,2,1,1,1,1,0,4,10,17,6,0,1,0,15,72,31,2,1,0,1,0,13,1,0,0,0,0,0,0,0,0,0,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.147820463701653,False,8.0,20
Valentín Burgoa,W,10,0,0,0,0,0,0,0.0,0.0,0,0,Sarmiento - Independiente,0–0,Sarmiento,0,0,False,True,12,0,1,1,0,0,0,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,6,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.894694051214739,False,6.0,20
