Player,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,xG,npxG,SCA,GCA,match,score,team,team_goals,conceded_goals,win,tie,Total-TotDist,Total-PrgDist,Short-Cmp,Short-Att,Medium-Cmp,Medium-Att,Long-Cmp,Long-Att,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Tackles-Tkl,Tackles-TklW,Challenges-Tkl,Challenges-Att,Challenges-Lost,Blocks-Blocks,Blocks-Sh,Blocks-Pass,Int,Clr,Err,Touches-Def Pen,Touches-Def 3rd,Touches-Mid 3rd,Touches-Att 3rd,Touches-Att Pen,Take-Ons-Att,Take-Ons-Succ,Carries-Carries,Carries-TotDist,Carries-PrgDist,Carries-PrgC,Carries-1/3,Carries-CPA,Carries-Mis,Carries-Dis,Receiving-Rec,Receiving-PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Recov,Aerial Duels-Won,Aerial Duels-Lost,SoTA,GA,Saves,PSxG,Launched-Cmp,Launched-Att,Passes-Att (GK),Passes-Thr,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-AvgLen,Crosses-Opp,Crosses-Stp,Sweeper-#OPA,Sweeper-AvgDist,puntaje_modelo,figura,puntaje,fecha
Sebastián Villa,FW,76,0,0,0,0,1,0,0.0,0.0,5,0,Independiente Rivadavia - Platense,0–2,Independiente Rivadavia,0,2,False,False,244,53,5,6,9,14,0,2,0.1,0.1,2,0,2,2,1,25,23,2,0,0,1,7,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,16,18,2,5,2,23,139,36,2,1,0,3,1,26,7,0,0,0,0,2,1,0,0,0,3,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.16237386850056,False,6.0,12
Jorge Sanguina,FW,14,0,0,0,0,0,0,0.0,0.0,0,0,Independiente Rivadavia - Platense,0–2,Independiente Rivadavia,0,2,False,False,32,3,0,0,1,2,0,0,0.0,0.0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,3,1,1,0,2,6,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.684572940207289,False,6.0,12
Fernando Romero,FW,76,0,0,0,0,1,0,0.1,0.1,1,0,Independiente Rivadavia - Platense,0–2,Independiente Rivadavia,0,2,False,False,146,22,8,12,3,4,0,0,0.2,0.4,1,0,0,0,0,19,18,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,11,14,3,1,1,21,73,9,2,0,0,4,3,23,7,1,0,0,1,0,0,0,0,0,3,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.694164810575691,False,4.0,12
Mauricio Asenjo,FW,14,0,0,0,0,0,0,0.0,0.0,0,0,Independiente Rivadavia - Platense,0–2,Independiente Rivadavia,0,2,False,False,30,9,1,2,1,2,0,0,0.0,0.0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,4,19,12,0,0,0,1,0,5,2,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.664794800017392,False,6.0,12
Lautaro Ríos,CM,60,0,0,0,0,3,0,0.2,0.2,0,0,Independiente Rivadavia - Platense,0–2,Independiente Rivadavia,0,2,False,False,185,80,6,9,6,7,0,1,0.0,0.0,0,0,0,0,2,19,19,0,0,0,0,0,0,0,2,1,0,1,1,1,0,1,0,1,0,1,4,12,13,3,2,0,15,65,32,1,0,0,1,3,20,5,0,0,0,1,1,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.72151423947287,False,6.0,12
Gonzalo Álvez,M,30,0,0,0,0,0,0,0.0,0.0,1,0,Independiente Rivadavia - Platense,0–2,Independiente Rivadavia,0,2,False,False,116,27,5,7,3,4,0,1,0.0,0.0,0,1,0,0,1,13,12,1,0,0,0,2,1,0,3,2,1,1,0,0,0,0,0,0,0,0,2,8,8,2,2,2,10,70,10,1,2,0,1,1,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.906141135004479,False,6.0,12
Franco Romero,CM,90,0,0,0,0,0,0,0.0,0.0,2,0,Independiente Rivadavia - Platense,0–2,Independiente Rivadavia,0,2,False,False,665,204,11,12,25,29,1,7,0.0,0.0,0,1,0,0,7,49,48,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,6,45,4,0,1,1,32,207,137,3,1,0,0,0,37,4,0,0,0,1,2,0,0,0,0,4,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.167151821452575,False,6.0,12
Ezequiel Ham,CM,60,0,0,0,0,0,0,0.0,0.0,0,0,Independiente Rivadavia - Platense,0–2,Independiente Rivadavia,0,2,False,False,458,122,6,7,15,17,2,3,0.0,0.0,0,3,0,0,4,28,21,7,1,0,0,1,4,0,1,1,1,1,0,2,0,2,0,0,0,0,7,18,8,0,1,0,13,34,20,1,1,0,0,0,19,5,0,0,0,0,0,0,0,0,0,4,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.670766766143169,False,6.0,12
Luis Sequeira,CM,30,0,0,0,0,1,0,0.0,0.0,1,0,Independiente Rivadavia - Platense,0–2,Independiente Rivadavia,0,2,False,False,369,121,4,5,7,9,5,8,0.3,0.2,1,2,1,1,4,26,25,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,7,15,9,1,2,2,19,119,51,3,3,1,1,0,21,3,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.119514757826532,False,6.0,12
Tobías Ostchega,FB,90,0,0,0,0,2,0,0.3,0.3,2,0,Independiente Rivadavia - Platense,0–2,Independiente Rivadavia,0,2,False,False,774,222,13,19,19,21,6,10,0.0,0.0,1,6,0,0,7,56,40,16,2,0,0,1,14,0,1,1,1,1,0,1,0,1,0,2,0,1,14,39,13,3,2,1,26,174,79,2,1,0,1,1,31,4,1,0,0,2,1,0,0,0,0,7,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.580129875575006,False,4.0,12
