Player,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,xG,npxG,SCA,GCA,match,score,team,team_goals,conceded_goals,win,tie,Total-TotDist,Total-PrgDist,Short-Cmp,Short-Att,Medium-Cmp,Medium-Att,Long-Cmp,Long-Att,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Tackles-Tkl,Tackles-TklW,Challenges-Tkl,Challenges-Att,Challenges-Lost,Blocks-Blocks,Blocks-Sh,Blocks-Pass,Int,Clr,Err,Touches-Def Pen,Touches-Def 3rd,Touches-Mid 3rd,Touches-Att 3rd,Touches-Att Pen,Take-Ons-Att,Take-Ons-Succ,Carries-Carries,Carries-TotDist,Carries-PrgDist,Carries-PrgC,Carries-1/3,Carries-CPA,Carries-Mis,Carries-Dis,Receiving-Rec,Receiving-PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Recov,Aerial Duels-Won,Aerial Duels-Lost,SoTA,GA,Saves,PSxG,Launched-Cmp,Launched-Att,Passes-Att (GK),Passes-Thr,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-AvgLen,Crosses-Opp,Crosses-Stp,Sweeper-#OPA,Sweeper-AvgDist,puntaje_modelo,figura,puntaje,fecha
Silvio Ulariaga,FW,90,1,0,1,1,1,0,0.9,0.1,2,0,Godoy Cruz - Rosario Central,1–1,Godoy Cruz,1,1,False,True,149,24,8,11,4,4,0,0,0.1,0.0,1,0,1,0,2,17,15,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,17,6,0,0,16,57,23,1,1,0,3,1,21,9,0,0,0,1,3,0,0,0,0,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.441857707404742,False,8.0,5
Juan Bautista Cejas,M,45,0,0,0,0,0,0,0.0,0.0,1,0,Godoy Cruz - Rosario Central,1–1,Godoy Cruz,1,1,False,True,205,86,7,7,4,5,1,2,0.0,0.1,1,1,0,0,4,16,13,3,2,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,1,1,0,15,80,13,1,0,0,1,0,15,1,0,0,0,1,0,0,0,0,0,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.923427561699543,False,6.0,5
Facundo Altamira,M,45,0,0,0,0,0,0,0.0,0.0,1,0,Godoy Cruz - Rosario Central,1–1,Godoy Cruz,1,1,False,True,60,17,4,8,1,2,0,3,0.0,0.0,0,1,0,0,1,13,13,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,10,1,1,1,11,45,18,1,1,0,1,0,11,3,0,0,0,1,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.024663240218909,False,6.0,5
Vicente Poggi,CM,90,0,0,0,0,1,0,0.1,0.1,3,0,Godoy Cruz - Rosario Central,1–1,Godoy Cruz,1,1,False,True,488,152,10,15,11,13,4,8,0.1,0.2,2,4,4,1,6,36,35,1,0,1,1,3,0,1,3,2,0,1,1,1,0,1,0,1,0,0,4,22,18,1,1,1,29,137,65,1,1,0,0,1,29,4,0,0,0,1,1,0,0,0,0,4,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.498506845748365,False,6.0,5
Roberto Nicolás Fernández,CM,90,0,0,0,0,1,0,0.0,0.0,2,0,Godoy Cruz - Rosario Central,1–1,Godoy Cruz,1,1,False,True,593,110,15,16,13,15,5,6,0.0,0.0,0,5,0,0,2,42,40,2,2,0,0,1,0,0,1,0,1,1,0,3,0,3,0,1,0,3,6,35,11,1,4,2,33,179,56,2,1,0,1,0,33,3,0,0,0,3,1,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.143126750965466,False,6.0,5
Daniel Barrea,M,85,0,0,0,0,3,1,0.1,0.1,1,0,Godoy Cruz - Rosario Central,1–1,Godoy Cruz,1,1,False,True,193,40,9,11,4,6,0,0,0.0,0.0,0,1,1,0,2,20,20,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,3,9,21,3,0,0,19,51,20,0,1,0,2,1,22,6,0,0,0,0,1,0,0,0,0,4,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.210095942770866,False,6.0,5
Julián Eseiza,W,5,0,0,0,0,0,0,0.0,0.0,0,0,Godoy Cruz - Rosario Central,1–1,Godoy Cruz,1,1,False,True,44,24,0,0,2,3,0,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.731931361049673,False,6.0,5
Bruno Leyes,DM,75,0,0,0,0,1,0,0.0,0.0,1,0,Godoy Cruz - Rosario Central,1–1,Godoy Cruz,1,1,False,True,729,276,13,17,18,18,6,8,0.0,0.0,0,9,0,0,4,45,43,2,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,2,0,2,7,43,1,0,0,0,35,140,54,0,0,0,0,2,32,1,0,0,0,1,2,0,0,0,0,5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.209625589237327,False,6.0,5
Tomás Badaloni,FW,15,0,0,0,0,1,1,0.1,0.1,0,0,Godoy Cruz - Rosario Central,1–1,Godoy Cruz,1,1,False,True,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,3,2,0,0,3,3,0,0,0,0,2,0,3,0,0,0,0,1,1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.886556227969376,False,6.0,5
Elías Pereyra,FB,45,0,0,0,0,0,0,0.0,0.0,0,0,Godoy Cruz - Rosario Central,1–1,Godoy Cruz,1,1,False,True,199,53,7,7,5,6,1,2,0.0,0.0,0,2,0,0,0,16,13,3,0,0,0,0,3,0,1,1,1,1,0,0,0,0,0,1,0,1,4,16,1,0,1,0,15,67,21,0,0,0,2,1,15,3,1,0,0,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.775196553733085,False,4.0,5
Martín Luciano,FB,45,0,0,0,0,0,0,0.0,0.0,0,0,Godoy Cruz - Rosario Central,1–1,Godoy Cruz,1,1,False,True,286,87,5,6,7,13,1,5,0.0,0.1,0,0,0,0,1,25,18,7,0,0,0,2,7,0,1,1,1,1,0,2,0,2,2,2,0,1,12,10,11,1,1,0,11,54,21,1,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.050593247066182,False,6.0,5
Federico Rasmussen,CB,90,0,0,0,0,1,0,0.0,0.0,1,1,Godoy Cruz - Rosario Central,1–1,Godoy Cruz,1,1,False,True,920,340,13,15,27,27,5,8,0.0,0.0,0,4,0,0,5,51,49,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,3,4,0,4,33,28,1,1,0,0,34,155,62,0,0,0,1,0,35,0,0,0,0,1,1,0,0,0,0,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.477088634426371,False,6.0,5
Pier Barrios,CB,90,0,0,0,0,0,0,0.0,0.0,1,0,Godoy Cruz - Rosario Central,1–1,Godoy Cruz,1,1,False,True,961,399,10,13,30,32,5,7,0.0,0.0,0,4,0,0,4,54,49,5,5,0,0,1,0,0,1,1,0,1,1,0,0,0,1,3,1,5,27,34,1,0,0,0,40,248,157,2,0,0,2,0,43,1,0,0,0,3,3,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.630734059098381,False,6.0,5
Lucas Arce,FB,75,0,0,0,0,0,0,0.0,0.0,3,0,Godoy Cruz - Rosario Central,1–1,Godoy Cruz,1,1,False,True,652,337,16,21,20,29,2,7,0.0,0.0,1,7,1,0,8,59,43,16,0,0,0,3,16,0,2,0,2,4,2,1,0,1,1,2,0,2,12,35,22,1,0,0,32,96,64,2,1,0,2,1,30,6,1,0,0,3,1,0,0,0,0,4,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6236768122105865,False,4.0,5
Manuel Guillén,FB,15,0,0,0,0,0,0,0.0,0.0,0,0,Godoy Cruz - Rosario Central,1–1,Godoy Cruz,1,1,False,True,32,0,0,1,0,0,1,2,0.0,0.0,0,0,0,0,0,3,2,1,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,2,4,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.037583852118945,False,6.0,5
Franco Petroli,GK,90,0,0,0,0,0,0,0.0,0.0,2,0,Godoy Cruz - Rosario Central,1–1,Godoy Cruz,1,1,False,True,1296,902,5,5,26,26,14,28,0.0,0.0,0,0,0,0,0,59,48,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,62,0,0,0,0,0,39,203,123,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0,1.0,3.0,2.4,7.0,20.0,53.0,6.0,32.8,6.0,53.7,14.0,1.0,1.0,13.8,6.379666461063579,False,6.0,5
Enzo Copetti,FW,90,1,0,0,0,2,2,0.3,0.3,1,0,Godoy Cruz - Rosario Central,1–1,Rosario Central,1,1,False,True,161,85,6,8,3,4,1,1,0.0,0.2,0,2,1,0,3,20,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,11,2,0,0,13,51,19,1,1,0,5,1,25,2,0,0,0,4,3,0,0,1,0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.097282724195239,False,10.0,5
Agustín Módica,FW,63,0,0,0,0,1,1,0.4,0.4,1,0,Godoy Cruz - Rosario Central,1–1,Rosario Central,1,1,False,True,257,81,2,3,2,4,4,4,0.0,0.0,0,3,1,0,4,14,12,2,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,2,18,4,2,4,2,10,52,24,2,0,1,3,1,12,3,0,0,0,0,2,1,0,0,0,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.605893928007094,False,7.0,5
Marco Ruben,FW,27,0,0,0,0,2,0,0.9,0.9,2,0,Godoy Cruz - Rosario Central,1–1,Rosario Central,1,1,False,True,90,33,0,0,1,2,2,2,0.1,0.0,1,1,0,0,2,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,0,0,7,22,12,0,0,0,0,1,10,1,0,0,0,0,1,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0217891632642,False,6.0,5
Jaminton Campaz,M,90,0,1,0,0,3,1,0.2,0.2,6,2,Godoy Cruz - Rosario Central,1–1,Rosario Central,1,1,False,True,314,71,12,14,10,14,0,6,0.3,0.6,1,0,1,1,1,37,33,4,1,0,0,9,2,1,2,2,0,0,0,2,0,2,3,0,0,0,4,31,20,9,5,2,25,191,118,5,2,2,3,3,29,9,0,0,0,4,3,1,0,0,0,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.437950622891364,True,12.0,5
