Player,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,xG,npxG,SCA,GCA,match,score,team,team_goals,conceded_goals,win,tie,Total-TotDist,Total-PrgDist,Short-Cmp,Short-Att,Medium-Cmp,Medium-Att,Long-Cmp,Long-Att,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Tackles-Tkl,Tackles-TklW,Challenges-Tkl,Challenges-Att,Challenges-Lost,Blocks-Blocks,Blocks-Sh,Blocks-Pass,Int,Clr,Err,Touches-Def Pen,Touches-Def 3rd,Touches-Mid 3rd,Touches-Att 3rd,Touches-Att Pen,Take-Ons-Att,Take-Ons-Succ,Carries-Carries,Carries-TotDist,Carries-PrgDist,Carries-PrgC,Carries-1/3,Carries-CPA,Carries-Mis,Carries-Dis,Receiving-Rec,Receiving-PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Recov,Aerial Duels-Won,Aerial Duels-Lost,SoTA,GA,Saves,PSxG,Launched-Cmp,Launched-Att,Passes-Att (GK),Passes-Thr,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-AvgLen,Crosses-Opp,Crosses-Stp,Sweeper-#OPA,Sweeper-AvgDist,puntaje_modelo,figura,puntaje,fecha
Agustín Fontana,FW,90,0,0,0,0,4,1,0.6,0.6,4,0,Sarmiento - Instituto,1–2,Sarmiento,1,2,False,False,182,10,3,6,4,6,2,3,0.3,0.0,1,0,0,0,1,18,15,3,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,14,16,6,2,0,16,48,20,0,0,0,5,1,20,4,0,0,0,1,0,2,0,0,0,1,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.012663346737232,False,6.0,1
Joaquín Gho,FW,69,0,0,0,0,0,0,0.0,0.0,0,0,Sarmiento - Instituto,1–2,Sarmiento,1,2,False,False,110,39,4,10,3,6,0,2,0.1,0.0,1,1,1,0,2,21,21,0,0,0,0,4,0,0,2,1,2,2,0,2,0,2,2,0,0,0,6,16,10,1,0,0,11,82,17,1,1,0,3,1,12,7,0,0,0,0,1,0,0,0,0,6,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.087498712521838,False,6.0,1
David Gallardo,M,21,0,0,0,0,1,1,0.0,0.0,0,0,Sarmiento - Instituto,1–2,Sarmiento,1,2,False,False,57,28,3,3,1,3,0,1,0.0,0.0,0,0,0,0,0,7,5,2,0,0,0,3,2,0,1,1,1,1,0,0,0,0,0,0,0,0,2,6,5,0,1,1,6,75,49,1,0,0,2,1,7,1,0,0,0,0,1,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.996080774273383,False,6.0,1
Yair Ezequiel Arismendi,M,45,0,0,0,0,2,1,0.0,0.0,0,0,Sarmiento - Instituto,1–2,Sarmiento,1,2,False,False,112,36,3,4,3,7,1,3,0.0,0.0,0,0,1,0,1,15,12,3,0,0,0,4,2,1,0,0,0,0,0,2,0,2,0,0,0,0,2,6,12,1,0,0,4,88,1,0,0,0,0,0,9,3,1,0,0,1,1,0,0,0,0,3,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.83701729267476,False,4.0,1
Manuel Mónaco,W,45,0,0,0,0,2,1,0.1,0.1,0,0,Sarmiento - Instituto,1–2,Sarmiento,1,2,False,False,54,11,5,7,1,2,0,1,0.0,0.0,0,0,0,0,0,11,11,0,0,0,0,1,0,0,1,1,1,3,2,0,0,0,0,0,0,0,1,7,8,1,2,1,10,25,17,0,1,0,1,0,7,3,0,0,0,0,1,0,0,0,0,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.958793197743642,False,6.0,1
Diego Calcaterra,CM,90,0,0,0,0,1,0,0.1,0.1,4,0,Sarmiento - Instituto,1–2,Sarmiento,1,2,False,False,432,161,7,12,12,13,3,5,0.1,0.1,4,1,0,0,5,33,33,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,7,27,7,6,1,0,14,40,11,0,0,0,0,1,16,2,0,0,0,2,3,0,0,0,0,4,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.180746102348431,False,6.0,1
José Mauri,CM,69,0,0,0,0,1,0,0.0,0.0,3,0,Sarmiento - Instituto,1–2,Sarmiento,1,2,False,False,228,83,2,6,8,9,1,2,0.0,0.0,2,1,1,0,6,18,17,1,1,0,0,0,0,0,1,1,0,0,0,2,1,1,0,0,0,0,9,14,7,0,0,0,12,51,15,0,1,0,1,0,13,1,0,0,0,0,2,0,0,0,0,4,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.92144314976909,False,6.0,1
Fernando Godoy,CM,21,0,0,0,0,0,0,0.0,0.0,0,0,Sarmiento - Instituto,1–2,Sarmiento,1,2,False,False,97,10,2,5,3,3,0,2,0.0,0.0,0,0,0,0,0,10,7,3,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,2,6,2,0,0,0,5,17,11,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.595304942626328,False,6.0,1
Gabriel Gudiño,M,69,0,0,0,0,0,0,0.0,0.0,3,0,Sarmiento - Instituto,1–2,Sarmiento,1,2,False,False,145,48,7,7,0,3,2,5,0.0,0.0,1,0,0,0,0,17,12,5,1,0,0,3,2,2,4,0,1,1,0,2,0,2,0,0,0,1,3,13,17,2,3,2,12,90,47,2,0,1,3,1,14,5,0,0,0,2,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.016045048254116,False,6.0,1
Iván Morales Bravo,FW,21,0,0,0,0,0,0,0.0,0.0,0,0,Sarmiento - Instituto,1–2,Sarmiento,1,2,False,False,11,3,1,1,0,0,0,0,0.0,0.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,8,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7086718491827435,False,6.0,1
