Jugador,Equipo,Pos,Precio
Milton Giménez,Banfield,DEL,1000000
Mauricio Roldán,Banfield,DEL,1000000
Juan Bisanz,Banfield,DEL,1000000
Ramiro Di Luciano,Banfield,DEF,1000000
Guillermo Enrique,Banfield,DEF,1000000
Braian Galván,Banfield,DEL,1000000
Gabriel Aranda,Banfield,DEF,1000000
Geronimo Rivera,Banfield,DEL,1000000
Alexis Maldonado,Banfield,DEF,1000000
Damián Díaz,Banfield,VOL,1000000
Ezequiel Bonifacio,Banfield,DEF,1000000
Leandro Garate,Banfield,DEL,1000000
Lautaro Cardozo,Banfield,DEF,1000000
Mateo Pérez,Banfield,DEF,1000000
Marcelo Barovero,Banfield,ARQ,1000000
Juan Iribarren,Banfield,DEF,1000000
Yvo Calleros,Banfield,VOL,1000000
Marcos Echeverría,Banfield,DEL,1000000
Lautaro Villegas,Banfield,VOL,1000000
Luciano Recalde,Banfield,DEF,1000000
Juan Quintana,Banfield,DEF,1000000
Lisandro Piñero,Banfield,DEL,1000000
Federico Medina,Banfield,DEL,1000000
Lautaro Gómez,Banfield,DEL,1000000
Alexander Byndgaard,Banfield,DEL,1000000
José Devecchi,Banfield,ARQ,1000000
Santiago Esquivel,Banfield,VOL,1000000
Martin Lazarte,Banfield,DEF,1000000
Agustín Obando,Banfield,DEL,1000000
Franco Quinteros,Banfield,DEF,1000000
Facundo Vila,Banfield,ARQ,1000000
Kevin Facundo Gutiérrez,Defensa y Just,VOL,1000000
Santi Ramos Mingo,Defensa y Just,DEF,1000000
Luciano Ramón Herrera,Defensa y Just,DEL,1000000
Ezequiel Cannavo,Defensa y Just,DEF,1000000
Emanuel Aguilera,Defensa y Just,DEF,1000000
Cristopher Fiermarin,Defensa y Just,ARQ,1000000
Juan Miritello,Defensa y Just,DEL,1000000
Aaron Nicolás Molinas,Defensa y Just,VOL,1000000
Lucas Ferreira,Defensa y Just,DEF,1000000
Gabriel Alanís,Defensa y Just,DEL,1000000
Alexis Soto,Defensa y Just,DEF,1000000
Julián López,Defensa y Just,VOL,1000000
Enrique Bologna,Defensa y Just,ARQ,1000000
Kevin Lopez,Defensa y Just,VOL,1000000
Rodrigo Bogarín,Defensa y Just,VOL,1000000
Ignacio Galván,Defensa y Just,DEF,1000000
Nicolás Palavecino,Defensa y Just,VOL,1000000
Nicolás Tripichio,Defensa y Just,DEF,1000000
Abiel Osorio,Defensa y Just,DEL,1000000
Darío Cáceres,Defensa y Just,DEF,1000000
Ayrton Portillo,Defensa y Just,VOL,1000000
Nicolás Fernández,Defensa y Just,DEL,1000000
César Pérez,Defensa y Just,VOL,1000000
Facundo Echevarría,Defensa y Just,DEL,1000000
Matías Sosa,Defensa y Just,DEL,1000000
David González,Defensa y Just,VOL,1000000
Esteban Burgos,Defensa y Just,DEF,1000000
Esteban Lucero,Defensa y Just,DEF,1000000
Benjamín Schamine,Defensa y Just,VOL,1000000
Tobías Rubio,Defensa y Just,DEF,1000000
Matías Ramírez,Defensa y Just,VOL,1000000
Nicolás Blandi,Defensa y Just,DEL,1000000
Santiago Godoy,Defensa y Just,DEL,1000000
Francisco Marco,Defensa y Just,DEF,1000000
Andrés Berizovsky,Defensa y Just,DEF,1000000
Tiago Ferreyra,Defensa y Just,DEL,1000000
Mateo Aguiar,Defensa y Just,VOL,1000000
Lorenzo Brun,Defensa y Just,DEL,1000000
Elías Calderón,Defensa y Just,DEF,1000000
Ramiro Garcia,Defensa y Just,ARQ,1000000
Máximo Gonzales,Defensa y Just,ARQ,1000000
Tiago Serrago,Defensa y Just,VOL,1000000
Elián Sosa,Defensa y Just,DEL,1000000
Alejo Valenzuela,Defensa y Just,DEF,1000000
Yorman Zapata,Defensa y Just,DEL,1000000
Gonzalo Goñi,Barracas Central,DEF,1000000
Nicolás Capraro,Barracas Central,DEF,1000000
Rodrigo Insúa,Barracas Central,DEF,1000000
Rodrigo Herrera,Barracas Central,VOL,1000000
Maximiliano Zalazar,Barracas Central,DEL,1000000
Siro Rosane,Barracas Central,VOL,1000000
Marco Iacobellis,Barracas Central,DEL,1000000
Sebastián Moyano,Barracas Central,ARQ,1000000
Alan Cantero,Barracas Central,VOL,1000000
Jhonatan Candia,Barracas Central,DEL,1000000
Alexis Dominguez,Barracas Central,DEL,1000000
Facundo Mater,Barracas Central,DEF,1000000
Lucas Brochero,Barracas Central,DEL,1000000
Nicolás Demartini,Barracas Central,DEF,1000000
Iván Tapia,Barracas Central,VOL,1000000
Pedro Velurtas,Barracas Central,DEF,1000000
Marcelo Miño,Barracas Central,ARQ,1000000
Javier Ruiz,Barracas Central,VOL,1000000
Dardo Miloc,Barracas Central,VOL,1000000
Rafael Ferrario,Barracas Central,ARQ,1000000
Federico Aguirre,Barracas Central,DEL,1000000
Santiago Coronel,Barracas Central,VOL,1000000
Daniel Juárez,Barracas Central,DEL,1000000
Manuel Agustín Duarte,Barracas Central,VOL,1000000
Alex Juárez,Barracas Central,VOL,1000000
Nicolás Tolosa,Barracas Central,DEF,1000000
Maximiliano Puig,Barracas Central,DEF,1000000
Carlos Sánchez,Barracas Central,DEF,1000000
Diego Pavia,Barracas Central,DEF,1000000
Facundo Krüger,Barracas Central,DEL,1000000
Carlos Arce,Barracas Central,VOL,1000000
Agustín Irazoque,Barracas Central,DEF,1000000
Bahiano Benjamín García,Barracas Central,VOL,1000000
Facundo Bruera,Barracas Central,DEL,1000000
Lucas Faggioli,Barracas Central,DEF,1000000
Santiago Villalba,Barracas Central,VOL,1000000
