Jugador,Equipo,Pos,Precio,Estado
Carlos Izquierdoz,Lanús,DEF,4000000,Habilitado
Nery Domínguez,Lanús,DEF,3000000,Habilitado
Brian Luciatti,Lanús,DEF,3000000,Habilitado
Julio Soler,Lanús,DEF,2000000,Habilitado
Ezequiel Muñoz,Lanús,DEF,2200000,Habilitado
Alan Aguerre,Lanús,ARQ,3500000,Habilitado
Nahuel Losada,Lanús,ARQ,3000000,Habilitado
Gonzalo Pérez,Lanús,DEF,1500000,Habilitado
Eduardo Salvio,Lanús,DEL,4500000,Habilitado
Braian Aguirre,Lanús,DEF,2400000,Habilitado
Felipe Peña,Lanús,VOL,3300000,Habilitado
Jonathan Torres,Lanús,DEL,1700000,Habilitado
Juan Cáceres,Lanús,DEF,1500000,Habilitado
Luciano Boggio,Lanús,VOL,3000000,Habilitado
Fabio Álvarez,Lanús,VOL,3000000,Habilitado
Dylan Aquino,Lanús,DEL,700000,Habilitado
Mateo Sanabria,Lanús,VOL,2100000,Habilitado
Lautaro Acosta,Lanús,VOL,3900000,Habilitado
Leandro Díaz,Lanús,DEL,4700000,Habilitado
Augusto Lotti,Lanús,DEL,1000000,Habilitado
Agustín Rodríguez,Lanús,DEL,1000000,Habilitado
Óctavio Ontivero,Lanús,DEF,300000,Habilitado
David González,Lanús,VOL,300000,Habilitado
Bruno Cabrera,Lanús,DEL,300000,Habilitado
Jose Domínguez,Lanús,DEF,300000,Habilitado
Thiago Balbuena,Lanús,DEL,300000,Habilitado
Lucas Besozzi,Lanús,VOL,1000000,Habilitado
Leonel Cardozo,Lanús,DEF,300000,Habilitado
Nicolás Cláa,Lanús,ARQ,300000,Habilitado
Mariano Gerez,Lanús,VOL,300000,Habilitado
Alexis González,Lanús,DEL,300000,Habilitado
Lucas Irusta,Lanús,DEF,300000,Habilitado
Agustín Medina,Lanús,VOL,300000,Habilitado
Franco Watson,Lanús,VOL,300000,Habilitado
Franco Romero,Independiente Rivadavia,VOL,1000000,Habilitado
Lautaro Ríos,Independiente Rivadavia,VOL,700000,Habilitado
Ezequiel Ham,Independiente Rivadavia,VOL,1700000,Habilitado
Ezequiel Centurión,Independiente Rivadavia,ARQ,1800000,Habilitado
Tobías Ostchega,Independiente Rivadavia,DEF,900000,Habilitado
Sebastián Villa,Independiente Rivadavia,DEL,4000000,Habilitado
Bruno Bianchi,Independiente Rivadavia,DEF,2000000,Habilitado
Iván Villalba,Independiente Rivadavia,DEF,500000,Habilitado
Tiago Palacios,Independiente Rivadavia,DEF,2000000,Habilitado
Fernando Romero,Independiente Rivadavia,DEL,800000,Habilitado
Mauricio Asenjo,Independiente Rivadavia,DEL,1900000,Habilitado
Matías Ruíz Díaz,Independiente Rivadavia,DEF,900000,Habilitado
Luciano Abecasis,Independiente Rivadavia,DEF,1000000,Habilitado
Gonzalo Marinelli,Independiente Rivadavia,ARQ,2100000,Habilitado
Matías Reali,Independiente Rivadavia,DEL,3000000,Habilitado
Federico Milo,Independiente Rivadavia,DEF,1100000,Habilitado
Francisco Petrasso,Independiente Rivadavia,DEF,900000,Habilitado
Esteban Burgos,Independiente Rivadavia,DEF,2000000,Habilitado
Sheyko Studer,Independiente Rivadavia,DEF,300000,Habilitado
Gonzalo Ríos,Independiente Rivadavia,DEL,700000,Habilitado
Agustín Mulet,Independiente Rivadavia,VOL,1400000,Habilitado
Luciano Gómez,Independiente Rivadavia,DEF,800000,Habilitado
Luis Sequeira,Independiente Rivadavia,VOL,800000,Habilitado
Juan Cavallaro,Independiente Rivadavia,DEL,1300000,Habilitado
Gonzalo Álvez,Independiente Rivadavia,DEL,700000,Habilitado
Victorio Ramis,Independiente Rivadavia,DEL,1500000,Habilitado
Mauro Maidana,Independiente Rivadavia,DEF,1100000,Habilitado
Antonio Napolitano,Independiente Rivadavia,DEF,300000,Habilitado
Jorge Sanguina,Independiente Rivadavia,DEL,700000,Habilitado
Gastón Gil Romero,Independiente Rivadavia,VOL,2200000,Habilitado
Fabrizio Sartori,Independiente Rivadavia,DEL,900000,Habilitado
Álvaro Dionisio,Independiente Rivadavia,DEF,400000,Habilitado
Diego Tonetto,Independiente Rivadavia,VOL,600000,Habilitado
Nahuel Gallardo,Independiente Rivadavia,DEF,1000000,Habilitado
Joel Soñora,Independiente Rivadavia,VOL,1500000,Habilitado
Emiliano Saliadarre,Independiente Rivadavia,DEL,600000,Habilitado
Julián Ascacibar,Independiente Rivadavia,VOL,900000,Habilitado
Mauricio Cardillo,Independiente Rivadavia,VOL,300000,Habilitado
Francisco Maidana,Independiente Rivadavia,VOL,300000,Habilitado
Juan Manuel Vázquez,Independiente Rivadavia,VOL,300000,Habilitado
Mariano Monllor,Independiente Rivadavia,ARQ,300000,Habilitado
Mateo Ortale,Independiente Rivadavia,DEF,300000,Habilitado
Imanol Segovia,Independiente Rivadavia,DEF,900000,Habilitado
Fredy Vera,Independiente Rivadavia,VOL,500000,Habilitado
Juan Vera,Independiente Rivadavia,VOL,300000,Habilitado
Juan Ignacio Ramírez,Newell's OB,DEL,4000000,Habilitado
Gustavo Velásquez,Newell's OB,DEF,3900000,Habilitado
Ángelo Martino,Newell's OB,DEF,2900000,Habilitado
Armando Méndez,Newell's OB,DEF,3500000,Habilitado
Rodrigo Fernández,Newell's OB,VOL,1400000,Habilitado
Éver Banega,Newell's OB,VOL,5800000,Habilitado
Saúl Salcedo,Newell's OB,DEF,2000000,Habilitado
Francisco González,Newell's OB,DEL,1500000,Habilitado
Ramiro Macagno,Newell's OB,ARQ,3500000,Habilitado
Lucas Hoyos,Newell's OB,ARQ,3000000,Habilitado
Fernando David Cardozo,Newell's OB,DEL,1400000,Habilitado
Juan Ignacio Méndez,Newell's OB,VOL,2600000,Habilitado
Ian Glavinovich,Newell's OB,DEF,300000,Habilitado
Lucas Besozzi,Newell's OB,DEL,1500000,Habilitado
Jerónimo Cacciabue,Newell's OB,VOL,1300000,Habilitado
Tomás Pérez,Newell's OB,VOL,300000,Habilitado
Augusto Schott,Newell's OB,DEF,2500000,Habilitado
Matko Miljevic,Newell's OB,VOL,1700000,Habilitado
Mateo Silvetti,Newell's OB,DEL,300000,Habilitado
Julián Fernández,Newell's OB,VOL,1800000,Habilitado
Juan Manuel García,Newell's OB,DEL,3000000,Habilitado
Tomás Jacob,Newell's OB,DEF,400000,Habilitado
Brian Aguirre,Newell's OB,VOL,1000000,Habilitado
Brian Calderara,Newell's OB,DEF,1900000,Habilitado
Gabriel Carabajal,Newell's OB,VOL,2600000,Habilitado
Leonel Vangioni,Newell's OB,DEF,3100000,Habilitado
Giovani Chiaverano,Newell's OB,DEL,300000,Habilitado
Guillermo Balzi,Newell's OB,VOL,800000,Habilitado
Valentino Acuña,Newell's OB,VOL,500000,Habilitado
Fabricio Tirado,Newell's OB,VOL,300000,Habilitado
Guillermo May,Newell's OB,DEL,800000,Habilitado
Pablo Altamirano,Newell's OB,VOL,300000,Habilitado
Franco Díaz,Newell's OB,VOL,1000000,Habilitado
Esteban Fernández,Newell's OB,VOL,800000,Habilitado
Misael Jaime,Newell's OB,VOL,300000,Habilitado
Jeremías Pérez Tica,Newell's OB,DEL,300000,Habilitado
Lucas Baños,Newell's OB,DEF,300000,Habilitado
Ignacio Schor,Newell's OB,VOL,1000000,Habilitado
Agustín Juárez,Newell's OB,DEL,300000,Habilitado
Lucas Mihovilcevich,Newell's OB,DEF,300000,Habilitado
Ezequiel Moya,Newell's OB,DEF,300000,Habilitado
Faustino Piotti,Newell's OB,ARQ,300000,Habilitado
Joaquín Plaza,Newell's OB,DEL,300000,Habilitado
Josue Reinatti,Newell's OB,ARQ,300000,Habilitado
Valentino Torrente,Newell's OB,DEF,300000,Habilitado
Luis Ingolotti,Cen. Córdoba–SdE,ARQ,800000,Habilitado
Kevin Vázquez,Cen. Córdoba–SdE,VOL,800000,Habilitado
Rodrigo Atencio,Cen. Córdoba–SdE,VOL,1000000,Habilitado
Sebastián Valdez,Cen. Córdoba–SdE,DEF,600000,Habilitado
Matías Godoy,Cen. Córdoba–SdE,DEL,2200000,Habilitado
Rafael Barrios,Cen. Córdoba–SdE,DEF,700000,Habilitado
Lucas Abascia,Cen. Córdoba–SdE,DEF,500000,Habilitado
Lucas Varaldo,Cen. Córdoba–SdE,DEL,500000,Habilitado
Elías Cabrera,Cen. Córdoba–SdE,VOL,800000,Habilitado
Juan Meli,Cen. Córdoba–SdE,DEF,1000000,Habilitado
Lautaro Rivero,Cen. Córdoba–SdE,DEF,400000,Habilitado
Jose Florentín,Cen. Córdoba–SdE,VOL,1800000,Habilitado
Santiago Laquidaín,Cen. Córdoba–SdE,DEF,500000,Habilitado
Mateo Sanabria,Cen. Córdoba–SdE,VOL,1000000,Habilitado
Yonatthan Rak,Cen. Córdoba–SdE,DEF,1000000,Habilitado
Walter Montoya,Cen. Córdoba–SdE,VOL,2800000,Habilitado
Tomás Molina,Cen. Córdoba–SdE,DEL,1000000,Habilitado
Oscar Garrido,Cen. Córdoba–SdE,DEF,600000,Habilitado
Luis Angulo,Cen. Córdoba–SdE,DEL,1000000,Habilitado
Gonzalo Trindade,Cen. Córdoba–SdE,DEF,400000,Habilitado
Alexis Segovia,Cen. Córdoba–SdE,DEL,600000,Habilitado
Fernando Benítez,Cen. Córdoba–SdE,DEL,900000,Habilitado
Luis Sánchez,Cen. Córdoba–SdE,VOL,800000,Habilitado
Brian Alexis Leizza,Cen. Córdoba–SdE,DEF,1000000,Habilitado
Dardo Miloc,Cen. Córdoba–SdE,DEF,1000000,Habilitado
Cristian Vega,Cen. Córdoba–SdE,VOL,1600000,Habilitado
Gonzalo Álvez,Cen. Córdoba–SdE,DEF,300000,Habilitado
José Gómez,Cen. Córdoba–SdE,DEF,500000,Habilitado
Iván Pillud,Cen. Córdoba–SdE,DEF,2700000,Habilitado
Franco Aragón,Cen. Córdoba–SdE,VOL,600000,Habilitado
Thiago Nuss,Cen. Córdoba–SdE,DEL,1700000,Habilitado
Ramón Cansinos,Cen. Córdoba–SdE,VOL,300000,Habilitado
Favio Cabral,Cen. Córdoba–SdE,DEL,500000,Habilitado
Nicolás Quagliata,Cen. Córdoba–SdE,DEL,700000,Habilitado
Federico Andueza,Cen. Córdoba–SdE,DEF,1000000,Habilitado
Florián Monzón,Cen. Córdoba–SdE,DEL,1000000,Habilitado
Manuel Palavecino,Cen. Córdoba–SdE,VOL,300000,Habilitado
Fernando Martínez,Cen. Córdoba–SdE,DEL,300000,Habilitado
Agustín Morales,Cen. Córdoba–SdE,DEL,500000,Habilitado
Galván Vittar,Cen. Córdoba–SdE,DEL,300000,Habilitado
Yuri Casermeiro,Cen. Córdoba–SdE,VOL,300000,Habilitado
Lautaro Bursich,Cen. Córdoba–SdE,ARQ,300000,Habilitado
Brandon Cortés,Cen. Córdoba–SdE,VOL,300000,Habilitado
Lucas Cuevas,Cen. Córdoba–SdE,VOL,300000,Habilitado
Matías Díaz,Cen. Córdoba–SdE,DEL,300000,Habilitado
Leonardo Marchi,Cen. Córdoba–SdE,DEF,500000,Habilitado
Andrés Mehring,Cen. Córdoba–SdE,ARQ,300000,Habilitado
Brian Rojas,Cen. Córdoba–SdE,VOL,300000,Habilitado
Diego Matías Rodríguez,Arg Juniors,ARQ,4600000,Habilitado
Francisco Álvarez,Arg Juniors,DEF,2000000,Habilitado
Alan Lescano,Arg Juniors,VOL,3500000,Habilitado
Nicolás Oróz,Arg Juniors,VOL,3000000,Habilitado
Gastón Verón,Arg Juniors,DEL,2000000,Habilitado
Román Vega,Arg Juniors,DEF,1500000,Habilitado
Alan Rodríguez,Arg Juniors,VOL,1200000,Habilitado
Jonathan Galván,Arg Juniors,DEF,2000000,Habilitado
Thiago Santamaría,Arg Juniors,DEF,300000,Habilitado
José Herrera,Arg Juniors,DEL,2500000,Habilitado
Ariel Gamarra,Arg Juniors,VOL,900000,Habilitado
Tobías Palacio,Arg Juniors,DEF,1500000,Habilitado
Maximiliano Romero,Arg Juniors,DEL,3000000,Habilitado
Emiliano Viveros,Arg Juniors,VOL,500000,Habilitado
Kevin Coronel,Arg Juniors,DEF,300000,Habilitado
Sebastián Prieto,Arg Juniors,DEF,1800000,Habilitado
Luciano Gondou,Arg Juniors,DEL,5600000,Habilitado
Francis Mac Allister,Arg Juniors,VOL,1900000,Habilitado
Leonardo Heredia,Arg Juniors,DEL,2700000,Habilitado
Erik Godoy,Arg Juniors,DEF,2600000,Habilitado
Juan Cardozo,Arg Juniors,VOL,300000,Habilitado
Matías Perelló,Arg Juniors,DEL,600000,Habilitado
Santiago Montiel,Arg Juniors,DEF,1000000,Habilitado
Lucas Gómez,Arg Juniors,VOL,300000,Habilitado
Tomás Molina,Arg Juniors,DEL,2400000,Habilitado
Santiago Rodriguez,Arg Juniors,DEL,2400000,Habilitado
Fernando Meza,Arg Juniors,DEF,1500000,Habilitado
Mateo Díaz Chaves,Arg Juniors,VOL,300000,Habilitado
Cristian Ferreira,Arg Juniors,VOL,2500000,Habilitado
Facundo Báez,Arg Juniors,DEL,300000,Habilitado
Damián Batallini,Arg Juniors,VOL,1000000,Habilitado
Nicolás Cordero,Arg Juniors,DEL,1900000,Habilitado
Manuel Guillén,Arg Juniors,DEF,300000,Habilitado
Agustin Mangiaut,Arg Juniors,ARQ,300000,Habilitado
Franco Moyano,Arg Juniors,VOL,1000000,Habilitado
Jairo O'Neill,Arg Juniors,DEF,300000,Habilitado
Gonzalo Siri Payer,Arg Juniors,ARQ,300000,Habilitado
Jhohan Romaña,San Lorenzo,DEF,2500000,Habilitado
Gastón Campi,San Lorenzo,DEF,2500000,Habilitado
Elian Irala,San Lorenzo,VOL,1500000,Habilitado
Alexis Cuello,San Lorenzo,DEL,1100000,Habilitado
Ivan Leguizamon,San Lorenzo,DEL,1500000,Habilitado
Gastón Gómez,San Lorenzo,ARQ,3200000,Habilitado
Eric Remedi,San Lorenzo,VOL,3500000,Habilitado
Elías Báez,San Lorenzo,DEF,300000,Habilitado
Malcom Braida,San Lorenzo,DEF,4200000,Habilitado
Gonzalo Luján,San Lorenzo,DEF,2000000,Habilitado
Facundo Altamirano,San Lorenzo,ARQ,3500000,Habilitado
Oscar Arias,San Lorenzo,DEF,300000,Habilitado
Nahuel Barrios,San Lorenzo,VOL,3500000,Habilitado
Matías Reali,San Lorenzo,DEL,2300000,Habilitado
Cristian Tarragona,San Lorenzo,DEL,4000000,Habilitado
Nicolás Tripichio,San Lorenzo,DEF,3000000,Habilitado
Santiago Sosa,San Lorenzo,VOL,300000,Habilitado
Ezequiel Cerutti,San Lorenzo,DEL,3000000,Habilitado
Nahuel Bustos,San Lorenzo,DEL,3700000,Habilitado
Daniel Herrera,San Lorenzo,DEF,300000,Habilitado
Andrés Vombergar,San Lorenzo,DEL,3000000,Habilitado
Iker Muniain,San Lorenzo,DEL,6800000,Habilitado
Cristian Ferreira,San Lorenzo,VOL,1000000,Habilitado
Agustín Giay,San Lorenzo,DEF,2000000,Habilitado
Francisco Perruzzi,San Lorenzo,VOL,400000,Habilitado
Iván Tapia,San Lorenzo,VOL,1000000,Habilitado
Sebastián Blanco,San Lorenzo,VOL,2500000,Habilitado
Diego Herazo,San Lorenzo,DEL,1600000,Habilitado
Adam Bareiro,San Lorenzo,DEL,5000000,Habilitado
Mateo Clemente,San Lorenzo,ARQ,300000,Habilitado
Nicolás Hernández,San Lorenzo,DEF,500000,Habilitado
Carlos Sánchez,San Lorenzo,DEF,2000000,Habilitado
Francisco Fydriszewski,San Lorenzo,DEL,1900000,Habilitado
Tobías Medina,San Lorenzo,VOL,500000,Habilitado
Tomás Porra,San Lorenzo,VOL,300000,Habilitado
Facundo Bruera,San Lorenzo,DEF,1000000,Habilitado
Fabricio López,San Lorenzo,DEF,300000,Habilitado
Gonzalo Alassia,San Lorenzo,VOL,300000,Habilitado
Lucas Coronel,San Lorenzo,DEF,300000,Habilitado
Orlando Gil,San Lorenzo,ARQ,300000,Habilitado
Agustin Hausch,San Lorenzo,DEL,400000,Habilitado
Lautaro López,San Lorenzo,ARQ,300000,Habilitado
Agustín Martegani,San Lorenzo,VOL,1000000,Habilitado
Ramiro Pedroza,San Lorenzo,DEF,300000,Habilitado
Mauro Perez,San Lorenzo,VOL,300000,Habilitado
Juan Vega,San Lorenzo,VOL,300000,Habilitado
Juan Manuel Insaurralde,Sarmiento,DEF,3500000,Habilitado
Yair Ezequiel Arismendi,Sarmiento,DEF,1900000,Habilitado
Manuel García,Sarmiento,VOL,1300000,Habilitado
Emiliano Méndez,Sarmiento,VOL,1800000,Habilitado
Lucas Acosta,Sarmiento,ARQ,1500000,Habilitado
Elías López,Sarmiento,DEF,1300000,Habilitado
Joaquín Gho,Sarmiento,DEL,300000,Habilitado
Franco Paredes,Sarmiento,DEF,1000000,Habilitado
Gabriel Gudiño,Sarmiento,VOL,1000000,Habilitado
Ezequiel Naya,Sarmiento,DEL,800000,Habilitado
Gastón Sauro,Sarmiento,DEF,2600000,Habilitado
Iván Morales Bravo,Sarmiento,DEL,1100000,Habilitado
Valentín Burgoa,Sarmiento,VOL,1100000,Habilitado
Nicolás Gaitán,Sarmiento,VOL,3000000,Habilitado
Facundo Roncaglia,Sarmiento,DEF,2000000,Habilitado
Gabriel Díaz,Sarmiento,DEF,1700000,Habilitado
Jerónimo Pourtau,Sarmiento,ARQ,1000000,Habilitado
Juan Hernández,Sarmiento,DEF,1900000,Habilitado
Matías Rosales,Sarmiento,DEF,300000,Habilitado
Agustín Fontana,Sarmiento,DEL,1500000,Habilitado
Lisandro López,Sarmiento,DEL,3200000,Habilitado
Juan Guasone,Sarmiento,DEF,2100000,Habilitado
Juan Andrada,Sarmiento,VOL,1700000,Habilitado
Fernando Godoy,Sarmiento,VOL,1200000,Habilitado
Gabriel Hauche,Sarmiento,DEL,3000000,Habilitado
Sergio Quiroga,Sarmiento,VOL,2800000,Habilitado
Nahuel Gallardo,Sarmiento,DEF,1000000,Habilitado
Thyago Ayala,Sarmiento,ARQ,300000,Habilitado
Diego Calcaterra,Sarmiento,VOL,700000,Habilitado
José Mauri,Sarmiento,VOL,2600000,Habilitado
Manuel Mónaco,Sarmiento,VOL,800000,Habilitado
David Gallardo,Sarmiento,VOL,900000,Habilitado
Tomas Guiacobini,Sarmiento,VOL,300000,Habilitado
Diego Azcurra,Sarmiento,DEL,300000,Habilitado
Bryan Cabezas,Sarmiento,DEL,1800000,Habilitado
Franco Calderon,Sarmiento,DEL,300000,Habilitado
Lautaro Cerato,Sarmiento,DEL,300000,Habilitado
Nereo Champagne,Sarmiento,ARQ,1500000,Habilitado
Patricio Ferreira,Sarmiento,VOL,300000,Habilitado
Andrés Marsengo,Sarmiento,ARQ,300000,Habilitado
Santiago Morales,Sarmiento,DEF,600000,Habilitado
Agustín Seyral,Sarmiento,DEF,300000,Habilitado
Jeremías Vallejos,Sarmiento,DEF,300000,Habilitado
Facundo Sanguinetti,Banfield,ARQ,1500000,Habilitado
Alejandro Maciel,Banfield,DEF,2000000,Habilitado
Ignacio Rodríguez,Banfield,VOL,600000,Habilitado
Cristian Núñez,Banfield,VOL,1000000,Habilitado
Juan Álvarez,Banfield,DEL,1100000,Habilitado
Emanuel Insúa,Banfield,DEF,2500000,Habilitado
Nicolás Hernández,Banfield,DEF,800000,Habilitado
Bruno Sepúlveda,Banfield,DEL,2500000,Habilitado
Matías González,Banfield,VOL,1600000,Habilitado
Yonatan Rodríguez,Banfield,VOL,1500000,Habilitado
Mathías De Ritis,Banfield,DEF,400000,Habilitado
Jesús Soraire,Banfield,VOL,1800000,Habilitado
Ezequiel Cañete,Banfield,VOL,2200000,Habilitado
Aaron Quirós,Banfield,DEF,3000000,Habilitado
Milton Giménez,Banfield,DEL,4300000,Habilitado
Mauricio Roldán,Banfield,DEL,300000,Habilitado
Juan Bisanz,Banfield,DEL,2800000,Habilitado
Ramiro Di Luciano,Banfield,DEF,300000,Habilitado
Guillermo Enrique,Banfield,DEF,1200000,Habilitado
Braian Galván,Banfield,DEL,1700000,Habilitado
Gabriel Aranda,Banfield,DEF,1100000,Habilitado
Geronimo Rivera,Banfield,DEL,2100000,Habilitado
Alexis Maldonado,Banfield,DEF,700000,Habilitado
Damián Díaz,Banfield,VOL,2900000,Habilitado
Ezequiel Bonifacio,Banfield,DEF,1100000,Habilitado
Leandro Garate,Banfield,DEL,1500000,Habilitado
Lautaro Cardozo,Banfield,DEF,300000,Habilitado
Mateo Pérez,Banfield,DEF,300000,Habilitado
Marcelo Barovero,Banfield,ARQ,3500000,Habilitado
Juan Iribarren,Banfield,DEF,300000,Habilitado
Yvo Calleros,Banfield,VOL,700000,Habilitado
Marcos Echeverría,Banfield,DEL,300000,Habilitado
Lautaro Villegas,Banfield,VOL,300000,Habilitado
Luciano Recalde,Banfield,DEF,1000000,Habilitado
Juan Quintana,Banfield,DEF,300000,Habilitado
Lisandro Piñero,Banfield,DEL,300000,Habilitado
Federico Medina,Banfield,DEL,300000,Habilitado
Lautaro Gómez,Banfield,DEL,300000,Habilitado
Alexander Byndgaard,Banfield,DEL,300000,Habilitado
José Devecchi,Banfield,ARQ,3000000,Habilitado
Santiago Esquivel,Banfield,VOL,300000,Habilitado
Martin Lazarte,Banfield,DEF,300000,Habilitado
Agustín Obando,Banfield,DEL,1000000,Habilitado
Franco Quinteros,Banfield,DEF,300000,Habilitado
Facundo Vila,Banfield,ARQ,300000,Habilitado
Kevin Facundo Gutiérrez,Defensa y Just,VOL,3100000,Habilitado
Santi Ramos Mingo,Defensa y Just,DEF,2600000,Habilitado
Luciano Ramón Herrera,Defensa y Just,DEL,500000,Habilitado
Ezequiel Cannavo,Defensa y Just,DEF,300000,Habilitado
Emanuel Aguilera,Defensa y Just,DEF,2500000,Habilitado
Cristopher Fiermarin,Defensa y Just,ARQ,2300000,Habilitado
Juan Miritello,Defensa y Just,DEL,1800000,Habilitado
Aaron Nicolás Molinas,Defensa y Just,VOL,2500000,Habilitado
Lucas Ferreira,Defensa y Just,DEF,600000,Habilitado
Gabriel Alanís,Defensa y Just,VOL,2000000,Habilitado
Alexis Soto,Defensa y Just,DEF,3400000,Habilitado
Julián López,Defensa y Just,VOL,1500000,Habilitado
Enrique Bologna,Defensa y Just,ARQ,2500000,Habilitado
Kevin Lopez,Defensa y Just,VOL,1000000,Habilitado
Rodrigo Bogarín,Defensa y Just,VOL,1200000,Habilitado
Ignacio Galván,Defensa y Just,DEF,900000,Habilitado
Nicolás Palavecino,Defensa y Just,VOL,500000,Habilitado
Nicolás Tripichio,Defensa y Just,DEF,3000000,Habilitado
Abiel Osorio,Defensa y Just,DEL,1800000,Habilitado
Darío Cáceres,Defensa y Just,DEF,1400000,Habilitado
Ayrton Portillo,Defensa y Just,VOL,300000,Habilitado
Nicolás Fernández,Defensa y Just,DEL,4800000,Habilitado
César Pérez,Defensa y Just,VOL,1000000,Habilitado
Facundo Echevarría,Defensa y Just,DEL,500000,Habilitado
Matías Sosa,Defensa y Just,DEL,700000,Habilitado
David González,Defensa y Just,VOL,300000,Habilitado
Esteban Burgos,Defensa y Just,DEF,1000000,Habilitado
Esteban Lucero,Defensa y Just,DEF,300000,Habilitado
Benjamín Schamine,Defensa y Just,VOL,300000,Habilitado
Tobías Rubio,Defensa y Just,DEF,900000,Habilitado
Matías Ramírez,Defensa y Just,VOL,900000,Habilitado
Nicolás Blandi,Defensa y Just,DEL,2600000,Habilitado
Santiago Godoy,Defensa y Just,DEL,900000,Habilitado
Francisco Marco,Defensa y Just,DEF,300000,Habilitado
Andrés Berizovsky,Defensa y Just,DEF,300000,Habilitado
Tiago Ferreyra,Defensa y Just,DEL,300000,Habilitado
Mateo Aguiar,Defensa y Just,VOL,300000,Habilitado
Lorenzo Brun,Defensa y Just,DEL,300000,Habilitado
Elías Calderón,Defensa y Just,DEF,300000,Habilitado
Ramiro Garcia,Defensa y Just,ARQ,300000,Habilitado
Máximo Gonzales,Defensa y Just,ARQ,300000,Habilitado
Tiago Serrago,Defensa y Just,VOL,300000,Habilitado
Elián Sosa,Defensa y Just,DEL,700000,Habilitado
Alejo Valenzuela,Defensa y Just,DEF,300000,Habilitado
Yorman Zapata,Defensa y Just,DEL,300000,Habilitado
Gonzalo Goñi,Barracas Central,DEF,2300000,Habilitado
Nicolás Capraro,Barracas Central,DEF,700000,Habilitado
Rodrigo Insúa,Barracas Central,DEF,1000000,Habilitado
Rodrigo Herrera,Barracas Central,VOL,300000,Habilitado
Maximiliano Zalazar,Barracas Central,VOL,1500000,Habilitado
Siro Rosane,Barracas Central,VOL,700000,Habilitado
Marco Iacobellis,Barracas Central,VOL,400000,Habilitado
Sebastián Moyano,Barracas Central,ARQ,2700000,Habilitado
Alan Cantero,Barracas Central,DEL,1200000,Habilitado
Jhonatan Candia,Barracas Central,DEL,3000000,Habilitado
Alexis Dominguez,Barracas Central,DEL,1500000,Habilitado
Facundo Mater,Barracas Central,DEF,1800000,Habilitado
Lucas Brochero,Barracas Central,DEL,1500000,Habilitado
Nicolás Demartini,Barracas Central,DEF,700000,Habilitado
Iván Tapia,Barracas Central,VOL,2300000,Habilitado
Pedro Velurtas,Barracas Central,DEF,600000,Habilitado
Marcelo Miño,Barracas Central,ARQ,1500000,Habilitado
Javier Ruiz,Barracas Central,VOL,600000,Habilitado
Dardo Miloc,Barracas Central,VOL,1000000,Habilitado
Rafael Ferrario,Barracas Central,ARQ,300000,Habilitado
Federico Aguirre,Barracas Central,DEL,400000,Habilitado
Santiago Coronel,Barracas Central,VOL,800000,Habilitado
Daniel Juárez,Barracas Central,DEL,700000,Habilitado
Manuel Agustín Duarte,Barracas Central,VOL,900000,Habilitado
Alex Juárez,Barracas Central,VOL,300000,Habilitado
Nicolás Tolosa,Barracas Central,DEF,900000,Habilitado
Maximiliano Puig,Barracas Central,VOL,400000,Habilitado
Carlos Sánchez,Barracas Central,DEF,2500000,Habilitado
Diego Pavia,Barracas Central,DEF,300000,Habilitado
Facundo Krüger,Barracas Central,DEL,700000,Habilitado
Carlos Arce,Barracas Central,VOL,2000000,Habilitado
Agustín Irazoque,Barracas Central,DEF,300000,Habilitado
Bahiano Benjamín García,Barracas Central,VOL,300000,Habilitado
Facundo Bruera,Barracas Central,DEL,1600000,Habilitado
Lucas Faggioli,Barracas Central,DEF,600000,Habilitado
Santiago Villalba,Barracas Central,VOL,300000,Habilitado
