Player,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,xG,npxG,SCA,GCA,match,score,team,team_goals,conceded_goals,win,tie,Total-TotDist,Total-PrgDist,Short-Cmp,Short-Att,Medium-Cmp,Medium-Att,Long-Cmp,Long-Att,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Tackles-Tkl,Tackles-TklW,Challenges-Tkl,Challenges-Att,Challenges-Lost,Blocks-Blocks,Blocks-Sh,Blocks-Pass,Int,Clr,Err,Touches-Def Pen,Touches-Def 3rd,Touches-Mid 3rd,Touches-Att 3rd,Touches-Att Pen,Take-Ons-Att,Take-Ons-Succ,Carries-Carries,Carries-TotDist,Carries-PrgDist,Carries-PrgC,Carries-1/3,Carries-CPA,Carries-Mis,Carries-Dis,Receiving-Rec,Receiving-PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Recov,Aerial Duels-Won,Aerial Duels-Lost,SoTA,GA,Saves,PSxG,Launched-Cmp,Launched-Att,Passes-Att (GK),Passes-Thr,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-AvgLen,Crosses-Opp,Crosses-Stp,Sweeper-#OPA,Sweeper-AvgDist,puntaje_modelo,figura,puntaje,fecha
Jonathan Herrera,FW,90.0,0,0,0,0,4,1,0.6,0.6,2,0,Deportivo Riestra - Rosario Central,0–2,Deportivo Riestra,0,2,False,False,134,9,8,9,0,4,1,3,0.3,0.1,1,0,1,0,1,19,18,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,9,21,6,1,0,19,48,7,0,0,0,5,1,25,12,0,0,0,2,0,0,0,0,0,2,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.849105000206048,False,6.0,3
Gustavo Fernández,FW,60.0,0,0,0,0,0,0,0.0,0.0,3,0,Deportivo Riestra - Rosario Central,0–2,Deportivo Riestra,0,2,False,False,228,8,15,17,2,3,1,1,0.0,0.1,1,0,0,0,1,24,22,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,24,3,0,0,19,62,9,0,2,1,5,6,36,15,0,0,0,1,2,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.583439661522248,False,6.0,3
Walter Acuña,M,30.0,0,0,0,0,2,1,0.1,0.1,1,0,Deportivo Riestra - Rosario Central,0–2,Deportivo Riestra,0,2,False,False,246,106,1,6,5,6,4,7,0.1,0.3,1,1,4,1,3,20,16,4,3,0,0,4,0,1,2,0,0,2,2,0,0,0,0,0,0,0,0,8,20,2,0,0,12,44,20,1,1,1,3,3,19,6,0,0,0,2,1,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.725870066488291,False,6.0,3
Guillermo Pereira,M,60.0,0,0,0,0,2,2,0.3,0.3,8,0,Deportivo Riestra - Rosario Central,0–2,Deportivo Riestra,0,2,False,False,553,301,5,8,12,14,6,9,0.5,0.7,6,3,0,0,5,32,22,10,5,1,0,8,0,5,1,0,0,1,1,0,0,0,2,0,0,0,2,19,19,2,3,1,13,93,37,2,2,2,0,1,17,4,0,0,0,0,2,0,0,0,0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9195372157765735,False,7.0,3
José Méndez,FW,30.0,0,0,0,0,0,0,0.0,0.0,0,0,Deportivo Riestra - Rosario Central,0–2,Deportivo Riestra,0,2,False,False,113,26,3,3,4,4,0,0,0.0,0.0,0,2,0,0,0,7,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,6,4,1,0,0,5,62,29,1,1,0,1,0,6,2,0,0,0,0,1,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.833043159587277,False,6.0,3
Pablo Monje,CM,89.0,0,0,0,0,0,0,0.0,0.0,0,0,Deportivo Riestra - Rosario Central,0–2,Deportivo Riestra,0,2,False,False,442,190,5,9,13,19,4,6,0.0,0.0,0,3,0,0,7,37,37,0,0,0,0,2,0,0,8,5,3,5,2,0,0,0,0,0,0,0,2,31,13,0,1,0,14,52,12,0,0,0,1,2,23,0,0,0,0,1,0,0,0,0,0,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.111470358003218,False,6.0,3
Maximiliano Brito,CM,1.0,0,0,0,0,0,0,0.0,0.0,0,0,Deportivo Riestra - Rosario Central,0–2,Deportivo Riestra,0,2,False,False,26,25,0,1,1,2,0,0,0.0,0.0,0,1,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,3,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.520652104049976,False,6.0,3
Milton Céliz,CM,90.0,0,0,0,1,4,1,1.0,0.3,5,0,Deportivo Riestra - Rosario Central,0–2,Deportivo Riestra,0,2,False,False,364,201,11,17,10,13,2,5,0.4,0.5,3,3,3,0,6,37,33,4,1,1,0,3,2,1,5,5,1,3,2,3,0,3,0,1,0,2,7,21,28,8,0,0,13,74,12,0,0,0,4,3,29,5,1,0,0,2,5,0,0,0,0,6,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.263620061373522,False,2.0,3
Pedro Ramírez,M,90.0,0,0,0,0,3,1,0.3,0.3,4,0,Deportivo Riestra - Rosario Central,0–2,Deportivo Riestra,0,2,False,False,646,312,9,13,21,29,3,6,0.0,0.1,0,4,0,0,10,51,39,12,0,0,1,3,12,0,1,1,1,4,3,0,0,0,1,0,0,0,5,33,26,8,6,2,17,50,23,0,0,0,2,0,32,5,0,0,0,2,1,0,0,0,0,2,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.061655500670605,False,6.0,3
Nicolas Dematei,FB,31.0,0,0,0,0,0,0,0.0,0.0,0,0,Deportivo Riestra - Rosario Central,0–2,Deportivo Riestra,0,2,False,False,132,70,3,4,3,4,1,5,0.0,0.0,0,0,1,1,1,13,10,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,9,0,0,0,7,19,6,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.813597129806173,False,6.0,3
