Player,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,xG,npxG,SCA,GCA,match,score,team,team_goals,conceded_goals,win,tie,Total-TotDist,Total-PrgDist,Short-Cmp,Short-Att,Medium-Cmp,Medium-Att,Long-Cmp,Long-Att,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Tackles-Tkl,Tackles-TklW,Challenges-Tkl,Challenges-Att,Challenges-Lost,Blocks-Blocks,Blocks-Sh,Blocks-Pass,Int,Clr,Err,Touches-Def Pen,Touches-Def 3rd,Touches-Mid 3rd,Touches-Att 3rd,Touches-Att Pen,Take-Ons-Att,Take-Ons-Succ,Carries-Carries,Carries-TotDist,Carries-PrgDist,Carries-PrgC,Carries-1/3,Carries-CPA,Carries-Mis,Carries-Dis,Receiving-Rec,Receiving-PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Recov,Aerial Duels-Won,Aerial Duels-Lost,SoTA,GA,Saves,PSxG,Launched-Cmp,Launched-Att,Passes-Att (GK),Passes-Thr,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-AvgLen,Crosses-Opp,Crosses-Stp,Sweeper-#OPA,Sweeper-AvgDist,puntaje_modelo,figura,puntaje,fecha
Juan Portillo,CB,90,0,0,0,0,0,0,0.0,0.0,0,0,Talleres - Belgrano,0–0,Talleres,0,0,False,True,770,469,8,9,23,24,4,4,0.0,0.0,0,1,0,0,1,37,33,4,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,3,24,18,0,0,0,0,28,137,56,0,0,0,0,0,30,0,0,0,0,1,1,0,0,0,0,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.115330427267408,False,8.0,17
Gastón Benavídez,FB,90,0,0,0,0,0,0,0.0,0.0,10,0,Talleres - Belgrano,0–0,Talleres,0,0,False,True,1155,350,27,30,36,42,3,9,0.5,0.4,5,3,6,1,9,84,76,8,0,0,0,11,8,0,0,0,0,0,0,0,0,0,0,1,0,1,12,24,54,4,1,0,64,403,243,8,3,0,1,1,69,26,0,0,0,0,3,1,0,0,0,7,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8703687087001075,False,9.0,17
Guido Herrera,GK,90,0,0,0,0,0,0,0.0,0.0,0,0,Talleres - Belgrano,0–0,Talleres,0,0,False,True,553,461,4,4,8,8,8,10,0.0,0.0,0,0,0,0,0,22,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,24,1,0,0,0,0,10,27,13,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,2.0,0.0,2.0,0.4,3.0,5.0,16.0,4.0,31.2,6.0,30.5,5.0,0.0,5.0,25.2,6.384422319339624,False,9.0,17
Franco Jara,AM,70,0,0,0,0,2,1,0.1,0.1,1,0,Talleres - Belgrano,0–0,Belgrano,0,0,False,True,138,6,3,4,0,1,2,2,0.0,0.0,0,0,0,0,1,8,7,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,4,6,9,2,1,0,12,24,4,0,0,0,6,1,13,2,1,0,0,2,1,0,0,0,0,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.861651653000644,False,4.0,17
Pablo Chavarría,FW,20,0,0,0,0,1,1,0.2,0.2,0,0,Talleres - Belgrano,0–0,Belgrano,0,0,False,True,22,4,2,2,0,2,0,0,0.0,0.0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,1,0,0,3,27,13,1,0,0,2,1,6,1,1,0,0,1,0,0,0,0,0,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.882806755116242,False,4.0,17
Nicolás Fernández,AM,45,0,0,0,0,1,0,0.0,0.0,0,0,Talleres - Belgrano,0–0,Belgrano,0,0,False,True,33,4,0,0,2,2,0,1,0.0,0.0,0,1,0,0,1,4,4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,6,1,1,0,9,48,1,0,1,0,3,3,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.852210971590887,False,6.0,17
Lucas Menossi,CM,45,0,0,0,0,0,0,0.0,0.0,0,0,Talleres - Belgrano,0–0,Belgrano,0,0,False,True,46,14,2,5,1,1,0,1,0.0,0.0,0,0,1,0,1,8,7,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,5,3,4,0,0,0,4,19,13,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.031577040383251,False,6.0,17
Francisco González,M,83,0,0,0,0,0,0,0.0,0.0,2,0,Talleres - Belgrano,0–0,Belgrano,0,0,False,True,216,97,9,10,2,3,2,3,0.0,0.0,1,1,0,0,1,17,13,4,2,0,0,3,1,1,3,0,2,4,2,3,1,2,1,4,0,1,9,8,10,1,0,0,4,35,9,0,1,0,0,2,4,0,0,0,0,2,0,0,0,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.232026663887245,False,6.0,17
Gerónimo Heredia,CM,7,0,0,0,0,0,0,0.0,0.0,0,0,Talleres - Belgrano,0–0,Belgrano,0,0,False,True,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.935057629412833,False,6.0,17
Esteban Rolón,M,70,0,0,0,0,0,0,0.0,0.0,0,0,Talleres - Belgrano,0–0,Belgrano,0,0,False,True,107,37,3,6,0,1,2,2,0.0,0.0,0,1,0,0,0,12,11,0,0,0,0,0,0,0,1,0,1,2,1,1,1,0,0,0,0,2,6,5,5,0,0,0,5,17,4,0,0,0,1,1,5,1,0,0,0,1,1,0,0,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.191960488031886,False,6.0,17
