Player,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,xG,npxG,SCA,GCA,match,score,team,team_goals,conceded_goals,win,tie,Total-TotDist,Total-PrgDist,Short-Cmp,Short-Att,Medium-Cmp,Medium-Att,Long-Cmp,Long-Att,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Tackles-Tkl,Tackles-TklW,Challenges-Tkl,Challenges-Att,Challenges-Lost,Blocks-Blocks,Blocks-Sh,Blocks-Pass,Int,Clr,Err,Touches-Def Pen,Touches-Def 3rd,Touches-Mid 3rd,Touches-Att 3rd,Touches-Att Pen,Take-Ons-Att,Take-Ons-Succ,Carries-Carries,Carries-TotDist,Carries-PrgDist,Carries-PrgC,Carries-1/3,Carries-CPA,Carries-Mis,Carries-Dis,Receiving-Rec,Receiving-PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Recov,Aerial Duels-Won,Aerial Duels-Lost,SoTA,GA,Saves,PSxG,Launched-Cmp,Launched-Att,Passes-Att (GK),Passes-Thr,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-AvgLen,Crosses-Opp,Crosses-Stp,Sweeper-#OPA,Sweeper-AvgDist,puntaje_modelo,figura,puntaje,fecha
Ezequiel Naya,FW,84,0,0,0,0,0,0,0.0,0.0,4,0,Sarmiento - Lanús,0–0,Sarmiento,0,0,False,True,218,33,5,8,5,6,1,1,0.0,0.0,2,0,1,0,1,16,15,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,14,6,0,0,0,8,64,26,1,1,0,1,0,10,2,0,0,0,3,3,1,0,0,0,3,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.23001022387667,False,6.0,13
Lisandro López,FW,6,0,0,0,0,0,0,0.0,0.0,0,0,Sarmiento - Lanús,0–0,Sarmiento,0,0,False,True,13,0,2,2,0,2,0,0,0.0,0.0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,2,0,3,5,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.866691154885607,False,6.0,13
Gabriel Gudiño,W,66,0,0,0,0,1,0,0.0,0.0,1,0,Sarmiento - Lanús,0–0,Sarmiento,0,0,False,True,28,4,3,6,0,1,0,1,0.0,0.0,0,1,0,0,0,9,9,0,0,0,1,1,0,0,0,0,0,2,2,1,0,1,0,0,0,0,2,7,7,1,3,1,11,65,28,1,1,0,2,0,12,4,0,0,0,0,2,0,0,0,0,3,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.077951606031244,False,6.0,13
Iván Morales Bravo,W,24,0,0,0,0,1,0,0.0,0.0,0,0,Sarmiento - Lanús,0–0,Sarmiento,0,0,False,True,19,0,2,3,0,1,0,1,0.0,0.0,0,0,0,0,0,5,5,0,0,0,0,2,0,0,1,1,0,2,2,0,0,0,0,0,0,0,1,2,5,2,0,0,3,8,0,0,0,0,1,3,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.786464272913728,False,6.0,13
Joaquín Gho,W,90,0,0,0,0,2,0,0.0,0.0,1,0,Sarmiento - Lanús,0–0,Sarmiento,0,0,False,True,177,75,10,14,2,11,1,8,0.0,0.0,0,2,0,0,1,40,34,5,3,0,0,9,0,2,2,1,1,1,0,0,0,0,0,2,0,2,10,18,25,3,4,1,21,119,45,2,1,1,2,0,30,8,0,0,0,1,1,0,0,0,0,7,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.866321149953985,False,7.0,13
Manuel García,M,90,0,0,0,0,2,1,0.0,0.0,3,0,Sarmiento - Lanús,0–0,Sarmiento,0,0,False,True,268,142,9,11,3,7,2,5,0.1,0.0,1,6,0,0,4,24,24,0,0,0,1,1,0,0,6,5,5,7,2,1,0,1,2,3,0,5,10,23,7,0,1,1,10,71,37,1,1,0,3,1,13,2,0,0,0,2,0,0,0,0,0,6,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.896491981254023,False,7.0,13
Emiliano Méndez,CM,90,0,0,0,0,1,0,0.1,0.1,1,0,Sarmiento - Lanús,0–0,Sarmiento,0,0,False,True,396,185,11,17,10,17,1,5,0.0,0.0,0,3,0,0,3,41,41,0,0,0,0,0,0,0,1,1,0,1,1,2,0,2,0,3,1,4,13,26,8,4,0,0,12,59,19,0,0,0,0,0,26,1,0,0,0,1,1,0,0,0,0,8,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.91682635977213,False,6.0,13
Valentín Burgoa,M,66,0,0,0,0,2,0,0.1,0.1,7,0,Sarmiento - Lanús,0–0,Sarmiento,0,0,False,True,337,103,15,16,2,3,4,11,0.1,0.1,3,3,0,0,4,30,23,7,1,0,0,6,1,5,3,1,1,2,1,0,0,0,0,1,0,0,1,17,27,1,3,1,16,140,33,1,2,0,4,1,26,3,0,0,0,4,1,0,0,0,0,4,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3528524937463136,False,6.0,13
Manuel Mónaco,M,24,0,0,0,0,0,0,0.0,0.0,0,0,Sarmiento - Lanús,0–0,Sarmiento,0,0,False,True,105,55,5,6,0,0,1,3,0.0,0.0,0,0,0,0,0,9,8,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,7,4,0,1,0,5,24,6,0,0,0,0,0,6,0,1,0,0,0,1,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9659274005371765,False,4.0,13
Yair Ezequiel Arismendi,FB,56,0,0,0,0,1,0,0.0,0.0,0,0,Sarmiento - Lanús,0–0,Sarmiento,0,0,False,True,182,120,7,8,5,6,0,5,0.0,0.0,0,1,0,0,3,20,14,6,0,0,0,0,6,0,4,2,2,2,0,1,1,0,0,3,0,2,14,10,5,0,0,0,7,43,19,0,1,0,1,0,6,0,0,0,0,1,1,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.402674514663053,False,8.0,13
Gabriel Díaz,FB,34,0,0,0,0,0,0,0.0,0.0,1,0,Sarmiento - Lanús,0–0,Sarmiento,0,0,False,True,212,172,1,1,3,5,3,6,0.0,0.0,0,0,0,0,1,12,7,5,0,0,0,1,5,0,1,1,1,2,1,0,0,0,0,1,0,1,6,4,5,0,0,0,6,35,18,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.946599610115277,False,8.0,13
Juan Manuel Insaurralde,CB,90,0,0,0,0,1,0,0.1,0.1,0,0,Sarmiento - Lanús,0–0,Sarmiento,0,0,False,True,493,291,3,3,8,8,6,6,0.0,0.0,0,1,0,0,0,17,12,5,5,0,3,0,0,0,0,0,0,1,1,1,1,0,2,10,0,11,21,9,2,1,1,0,7,37,26,0,0,0,1,0,9,1,0,0,0,0,0,0,0,0,0,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.633113354089532,False,9.0,13
Gastón Sauro,CB,90,0,0,0,0,0,0,0.0,0.0,1,0,Sarmiento - Lanús,0–0,Sarmiento,0,0,False,True,168,118,5,6,4,5,1,1,0.0,0.0,0,1,0,0,1,12,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,7,0,5,16,8,0,0,0,0,2,9,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.551928033764162,False,9.0,13
Franco Paredes,FB,66,0,0,0,0,2,0,0.0,0.0,0,0,Sarmiento - Lanús,0–0,Sarmiento,0,0,False,True,314,210,8,11,10,13,1,7,0.0,0.0,0,4,1,0,4,32,22,10,0,0,0,3,10,0,2,2,2,3,1,0,0,0,0,3,0,2,9,23,8,0,0,0,12,45,26,1,0,0,1,1,16,0,0,0,0,0,1,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.255627638309694,False,8.0,13
Elías López,FB,24,0,0,0,0,0,0,0.0,0.0,0,0,Sarmiento - Lanús,0–0,Sarmiento,0,0,False,True,78,56,5,5,1,1,0,2,0.0,0.0,0,0,0,0,1,8,6,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.976645688525799,False,8.0,13
Lucas Acosta,GK,90,0,0,0,0,0,0,0.0,0.0,0,0,Sarmiento - Lanús,0–0,Sarmiento,0,0,False,True,613,623,0,0,0,0,10,25,0.0,0.0,0,1,0,0,0,25,7,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,28,0,0,0,0,0,6,59,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5.0,0.0,5.0,1.6,10.0,25.0,9.0,0.0,57.2,16.0,71.6,17.0,0.0,0.0,0.0,6.701659691200349,False,10.0,13
Walter Bou,FW,83,0,0,0,0,0,0,0.0,0.0,6,0,Sarmiento - Lanús,0–0,Lanús,0,0,False,True,269,49,14,17,4,4,1,1,0.1,0.0,1,1,0,0,2,26,26,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,15,15,1,1,0,21,70,15,0,0,0,2,0,25,4,0,0,0,1,0,0,0,0,0,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.107985751185742,False,6.0,13
