id,jugador,equipo,puntaje,fecha
125,"Luciano Boggio",Lanús,4,18
126,"Ronaldo Martínez",Platense,7,18
127,"Sasha Marcich",Platense,7,18
128,"Leonel Picco",Platense,7,18
129,"Mariano Troilo",Belgrano,7,18
130,"Gastón Suso",Platense,7,18
131,"Carlos Villalba",Platense,7,18
132,"Bautista Barros Schelotto",Platense,7,18
133,"Ignacio Vázquez",Platense,7,18
134,"Mateo Pellegrino",Platense,7,18
135,"Guido Mainero",Platense,7,18
136,"Juan Velazquez",Belgrano,7,18
137,"Lucas Ocampo",Platense,7,18
138,"Nicolás Fernández",Belgrano,7,18
139,"Vicente Taborda",Platense,7,18
140,"Juan Cozzani",Platense,7,18
141,"Rafael Marcelo Delgado",Belgrano,6,18
142,"Ignacio Schor",Platense,6,18
143,"Tobías Cervera",Platense,6,18
144,"Facundo Quignon",Belgrano,6,18
145,"Franco Baldassarra",Platense,6,18
146,"Gabriel Compagnucci",Belgrano,6,18
147,"Anibal Leguizamón",Belgrano,6,18
148,"Francisco González",Belgrano,6,18
149,"Juan Espínola",Belgrano,6,18
150,"Pablo Chavarría",Belgrano,6,18
151,"Matías Suárez",Belgrano,6,18
152,"Bryan Reyna",Belgrano,6,18
153,"Lucas Menossi",Belgrano,6,18
154,"Esteban Rolón",Belgrano,6,18
155,"Gerónimo Heredia",Belgrano,6,18
156,"Jeremías Lucco",Belgrano,6,18
157,"Gastón Martirena","Racing Club",8,18
158,"Adrián Martínez","Racing Club",8,18
159,"Matías Ramírez","Defensa y Just",8,18
160,"Aaron Nicolás Molinas","Defensa y Just",8,18
161,"Santiago Solari","Racing Club",8,18
162,"Maximiliano Salas","Racing Club",7,18
163,"Bruno Zuculini","Racing Club",7,18
164,"Gabriel Arias","Racing Club",7,18
165,"Nazareno Colombo","Racing Club",7,18
166,"Juan Nardoni","Racing Club",7,18
167,"Luciano Vietto","Racing Club",7,18
168,"Agustín García Basso","Racing Club",7,18
169,"Agustín Almendra","Racing Club",7,18
170,"Facundo Mura","Racing Club",7,18
171,"Tobías Rubio","Defensa y Just",7,18
172,"Alexis Soto","Defensa y Just",7,18
173,"Abiel Osorio","Defensa y Just",6,18
174,"Juan Quintero","Racing Club",6,18
175,"Gabriel Alanís","Defensa y Just",6,18
176,"Leonardo Sigali","Racing Club",6,18
177,"Santi Ramos Mingo","Defensa y Just",6,18
