Player,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,xG,npxG,SCA,GCA,match,score,team,team_goals,conceded_goals,win,tie,Total-TotDist,Total-PrgDist,Short-Cmp,Short-Att,Medium-Cmp,Medium-Att,Long-Cmp,Long-Att,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,Tackles-Tkl,Tackles-TklW,Challenges-Tkl,Challenges-Att,Challenges-Lost,Blocks-Blocks,Blocks-Sh,Blocks-Pass,Int,Clr,Err,Touches-Def Pen,Touches-Def 3rd,Touches-Mid 3rd,Touches-Att 3rd,Touches-Att Pen,Take-Ons-Att,Take-Ons-Succ,Carries-Carries,Carries-TotDist,Carries-PrgDist,Carries-PrgC,Carries-1/3,Carries-CPA,Carries-Mis,Carries-Dis,Receiving-Rec,Receiving-PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Recov,Aerial Duels-Won,Aerial Duels-Lost,SoTA,GA,Saves,PSxG,Launched-Cmp,Launched-Att,Passes-Att (GK),Passes-Thr,Passes-AvgLen,Goal Kicks-Att,Goal Kicks-AvgLen,Crosses-Opp,Crosses-Stp,Sweeper-#OPA,Sweeper-AvgDist,puntaje_modelo,figura,puntaje,fecha
Francisco González,FW,75,0,0,0,0,2,0,0.0,0.0,2.0,1.0,Newell's OB - Estudiantes,1–4,Newell's OB,1,4,False,False,123.0,57.0,2.0,3.0,3.0,5.0,1.0,3.0,0.2,0.0,1.0,1.0,1.0,1.0,0.0,12.0,11.0,1.0,0.0,0.0,0.0,4,0.0,1.0,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0,1,1.0,0.0,1.0,2.0,8.0,9.0,3.0,0.0,0.0,9.0,70.0,36.0,0.0,1.0,0.0,2.0,0.0,9.0,3.0,0,0,0,1,1,2,0.0,0.0,0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.165784539484863,False,6.0,9
Giovani Chiaverano,W,15,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Newell's OB - Estudiantes,1–4,Newell's OB,1,4,False,False,46.0,0.0,1.0,3.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,2.0,1.0,0.0,0.0,3,1.0,0.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,4.0,7.0,0.0,1.0,0.0,6.0,49.0,23.0,1.0,0.0,0.0,1.0,0.0,8.0,5.0,0,0,0,0,1,0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.518771699512514,False,6.0,9
Juan Ignacio Ramírez,FW,90,0,0,0,0,2,0,0.2,0.2,1.0,0.0,Newell's OB - Estudiantes,1–4,Newell's OB,1,4,False,False,198.0,27.0,7.0,10.0,6.0,8.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,23.0,18.0,5.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,18.0,12.0,3.0,0.0,0.0,14.0,46.0,8.0,0.0,0.0,0.0,2.0,1.0,18.0,4.0,0,0,0,2,0,0,0.0,0.0,0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.717229330965322,False,6.0,9
Gabriel Carabajal,CM,62,0,1,0,0,0,0,0.0,0.0,1.0,1.0,Newell's OB - Estudiantes,1–4,Newell's OB,1,4,False,False,342.0,100.0,3.0,6.0,8.0,11.0,4.0,8.0,0.4,0.3,1.0,1.0,0.0,0.0,0.0,26.0,20.0,6.0,4.0,0.0,0.0,5,0.0,2.0,1.0,1,0.0,1.0,1.0,2.0,0.0,2.0,0,0.0,0.0,0.0,1.0,22.0,7.0,0.0,0.0,0.0,17.0,81.0,36.0,1.0,0.0,0.0,1.0,0.0,18.0,2.0,0,0,0,0,3,0,0.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.167581408598375,False,7.0,9
Lucas Besozzi,W,28,0,0,0,0,1,1,0.0,0.0,1.0,0.0,Newell's OB - Estudiantes,1–4,Newell's OB,1,4,False,False,101.0,6.0,4.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,3.0,0.0,11.0,81.0,22.0,1.0,2.0,0.0,1.0,2.0,12.0,5.0,0,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.584825498094553,False,6.0,9
Tomás Pérez,CM,75,1,0,0,0,1,1,0.4,0.4,0.0,0.0,Newell's OB - Estudiantes,1–4,Newell's OB,1,4,False,False,364.0,65.0,3.0,4.0,8.0,9.0,5.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,20.0,20.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1,1.0,1.0,0.0,1.0,0.0,1.0,0,4.0,1.0,4.0,9.0,20.0,2.0,1.0,0.0,0.0,11.0,29.0,10.0,0.0,1.0,0.0,0.0,0.0,16.0,1.0,0,0,0,0,1,0,0.0,0.0,0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.363259416030926,False,11.0,9
Julián Fernández,DM,15,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Newell's OB - Estudiantes,1–4,Newell's OB,1,4,False,False,102.0,11.0,2.0,3.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,2.0,2.0,0.0,0.0,0.0,1,0.0,0.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,4.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,1,0,0,2,0,0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35314252928834,False,3.0,9
Juan Ignacio Méndez,CM,90,0,0,0,0,1,0,0.0,0.0,5.0,0.0,Newell's OB - Estudiantes,1–4,Newell's OB,1,4,False,False,559.0,172.0,11.0,11.0,14.0,17.0,5.0,9.0,0.0,0.1,1.0,5.0,2.0,1.0,5.0,37.0,36.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,2,2.0,0.0,0.0,11.0,23.0,8.0,0.0,0.0,0.0,25.0,102.0,59.0,1.0,2.0,0.0,0.0,1.0,24.0,1.0,0,0,0,1,0,0,0.0,0.0,0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.936833749814877,False,6.0,9
Brian Calderara,FB,90,0,0,0,0,1,0,0.0,0.0,4.0,0.0,Newell's OB - Estudiantes,1–4,Newell's OB,1,4,False,False,439.0,208.0,11.0,12.0,10.0,13.0,3.0,7.0,0.1,0.2,2.0,2.0,2.0,2.0,3.0,34.0,23.0,11.0,0.0,0.0,0.0,4,11.0,0.0,2.0,1,1.0,4.0,3.0,2.0,1.0,1.0,0,1.0,0.0,2.0,15.0,19.0,12.0,1.0,4.0,2.0,20.0,94.0,50.0,1.0,2.0,0.0,1.0,0.0,21.0,1.0,1,0,0,2,2,0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.039018176412677,False,4.0,9
Leonel Vangioni,CB,63,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Newell's OB - Estudiantes,1–4,Newell's OB,1,4,False,False,420.0,236.0,8.0,9.0,13.0,13.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,24.0,4.0,4.0,0.0,0.0,0,0.0,0.0,3.0,2,2.0,2.0,0.0,1.0,0.0,1.0,1,2.0,0.0,3.0,22.0,13.0,0.0,0.0,0.0,0.0,15.0,53.0,24.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.839395191064679,False,6.0,9
