fecha,jugador,equipo,puntaje
1,Guido Herrera,Talleres,5.716966017949875
1,Lucas González,Independiente,5.602925504005005
1,Rodrigo Rey,Independiente,5.187312708848136
1,Alexis Canelo,Independiente,5.135040358321863
1,Matías Catalán,Talleres,4.898972770653047
1,Ezequiel Barco,River Plate,8.805027708708302
1,Facundo Colidio,River Plate,8.509732238528354
1,Luis Ingolotti,Cen. Córdoba–SdE,7.4239460494388325
1,Nicolas Fonseca,River Plate,7.360926222482198
1,Pablo Solari,River Plate,7.32395280449639
1,Ignacio Fernández,River Plate,7.2445465105446845
1,Agustín Sant'Anna,River Plate,7.047056779379487
1,Franco Armani,River Plate,6.970993592235656
1,Sebastián Valdez,Cen. Córdoba–SdE,6.855221643806835
1,Claudio Echeverri,River Plate,6.696587548692971
1,Milton Casco,River Plate,6.6920854464052315
1,Franco Mastantuono,River Plate,6.683317914499019
1,Paulo Díaz,River Plate,6.550614709015589
1,Leandro González Pirez,River Plate,6.520263942442502
1,Kevin Vázquez,Cen. Córdoba–SdE,6.515460016259237
1,Mateo Sanabria,Cen. Córdoba–SdE,6.3596010408338115
1,Thiago Nuss,Cen. Córdoba–SdE,6.196541036868516
1,Brian Alexis Leizza,Cen. Córdoba–SdE,6.167606833708325
1,Walter Montoya,Cen. Córdoba–SdE,5.986105548052003
1,Santiago Simón,River Plate,5.979110914792873
1,José Gómez,Cen. Córdoba–SdE,5.931331184662445
1,Ramón Cansinos,Cen. Córdoba–SdE,5.920580179168893
1,Matías Godoy,Cen. Córdoba–SdE,5.908440424583785
1,Galván Vittar,Cen. Córdoba–SdE,5.895386947934824
1,Agustín Ruberto,River Plate,5.869126084099688
1,Tomás Molina,Cen. Córdoba–SdE,5.833006362739897
1,Agustín Morales,Cen. Córdoba–SdE,5.831519266416849
1,Héctor David Martínez,River Plate,5.824148731178889
1,Rodrigo Atencio,Cen. Córdoba–SdE,5.822728637974617
1,Oscar Garrido,Cen. Córdoba–SdE,5.78565836085458
1,Miguel Borja,River Plate,5.773571276199249
1,Santiago Laquidaín,Cen. Córdoba–SdE,4.0165792744773725
1,Alan Lescano,Arg Juniors,8.430029993395365
1,Luciano Gondou,Arg Juniors,7.549414955251796
1,Agustín Módica,Rosario Central,7.361043247116922
1,Francisco Álvarez,Arg Juniors,7.193856384900554
1,Mauricio Martínez,Rosario Central,6.921491817447584
1,Emiliano Viveros,Arg Juniors,6.792493181589617
1,Maximiliano Lovera,Rosario Central,6.671907868800895
1,Juan Cruz Komar,Rosario Central,6.660474106953899
1,Juan Giménez,Rosario Central,6.447026928006857
1,Román Vega,Arg Juniors,6.4294973201831755
1,Maximiliano Romero,Arg Juniors,6.329723198215175
1,Alan Rodríguez,Rosario Central,6.327129851474327
1,Ariel Gamarra,Arg Juniors,6.272703319149391
1,Matías Perelló,Arg Juniors,6.25454152340647
1,Víctor Malcorra,Rosario Central,6.2362884312154225
1,Jorge Broun,Rosario Central,6.213120268506163
1,Kevin Ortíz,Rosario Central,6.160432004964981
